player_key,canonical_player_id,canonical_player_name,display_player_name,bbb_runs,bbb_balls_faced,bbb_batting_innings,bbb_matches,bat_sr
raw_00000000_0000_0000_0000_000000000001,raw_00000000_0000_0000_0000_000000000001,********,********,159,233,48,48,68.24034334763948
raw_5e62067a_ccc3_462c_af16_e0bfe01dd083,raw_5e62067a_ccc3_462c_af16_e0bfe01dd083,********,********,29,76,8,8,38.1578947368421
raw_77f4c44d_53c5_433b_88df_aa6b35dbc161,raw_77f4c44d_53c5_433b_88df_aa6b35dbc161,********,********,36,62,19,19,58.064516129032256
raw_8193baae_9c2e_42c7_b5ac_ccdd2eac90c0,raw_8193baae_9c2e_42c7_b5ac_ccdd2eac90c0,********,********,3,6,23,23,50.0
raw_b38ebac0_d6e2_40f0_9c56_e71cda5ce28c,raw_b38ebac0_d6e2_40f0_9c56_e71cda5ce28c,********,********,33,40,12,12,82.5
raw_b4a4b4f2_b9f0_4da2_8af9_45d1b275df8b,raw_b4a4b4f2_b9f0_4da2_8af9_45d1b275df8b,********,********,49,91,12,12,53.84615384615385
raw_e9778f8f_91af_46c1_ab08_86d7149cb6bc,raw_e9778f8f_91af_46c1_ab08_86d7149cb6bc,********,********,5,60,7,7,8.333333333333334
raw_ef74c99f_2da9_4a87_8a80_c646782ae75e,raw_ef74c99f_2da9_4a87_8a80_c646782ae75e,********,********,13,10,3,3,130.0
raw_2b7e6a6e_6ff1_4537_ab41_2c9b79dfe3d3,raw_2b7e6a6e_6ff1_4537_ab41_2c9b79dfe3d3,********,********,0,3,5,5,0.0
raw_00000000_0000_0000_0000_000000000005,raw_00000000_0000_0000_0000_000000000005,********,********,1,3,1,1,33.333333333333336
raw_00000000_0000_0000_0000_000000000003,raw_00000000_0000_0000_0000_000000000003,********,********,22,55,11,11,40.0
raw_00000000_0000_0000_0000_000000000004,raw_00000000_0000_0000_0000_000000000004,********,********,25,31,5,5,80.64516129032258
raw_00000000_0000_0000_0000_000000000002,raw_00000000_0000_0000_0000_000000000002,********,********,52,90,20,20,57.77777777777778
