canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Opening,1,196,6,103,136,10,16,32.4,17.166666666666668,3.1530612244897958,32.666666666666664,69.38775510204081,5.1020408163265305
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Opening,1,89,6,64,47,3,9,14.5,10.666666666666666,4.314606741573034,14.833333333333334,52.80898876404494,3.3707865168539324
raw_00000000_0000_0000_0000_000000000003,********,********,One Day,Opening,1,51,3,38,30,4,7,8.3,12.666666666666666,4.470588235294118,17.0,58.8235294117647,7.8431372549019605
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Opening,1,28,1,14,20,1,2,4.4,14.0,3.0,28.0,71.42857142857143,3.5714285714285716
raw_5e62067a_ccc3_462c_af16_e0bfe01dd083,********,********,One Day,Opening,1,19,0,8,12,0,3,3.1,,2.526315789473684,,63.1578947368421,0.0
raw_77f4c44d_53c5_433b_88df_aa6b35dbc161,********,********,One Day,Opening,1,18,1,18,7,2,1,3.0,18.0,6.0,18.0,38.888888888888886,11.11111111111111
raw_b38ebac0_d6e2_40f0_9c56_e71cda5ce28c,********,********,One Day,Opening,1,88,7,45,57,4,9,14.4,6.428571428571429,3.0681818181818183,12.571428571428571,64.77272727272727,4.545454545454546
raw_b4a4b4f2_b9f0_4da2_8af9_45d1b275df8b,********,********,One Day,Opening,1,118,2,106,60,12,11,19.4,53.0,5.389830508474576,59.0,50.847457627118644,10.169491525423728
raw_d2841d79_9eae_4922_86a3_296e28f61374,********,********,One Day,Opening,1,2,0,1,1,0,1,0.2,,3.0,,50.0,0.0
raw_ef74c99f_2da9_4a87_8a80_c646782ae75e,********,********,One Day,Opening,1,84,3,48,57,5,3,14.0,16.0,3.4285714285714284,28.0,67.85714285714286,5.9523809523809526
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Middle,2,281,8,212,181,28,22,46.5,26.5,4.526690391459074,35.125,64.41281138790036,9.9644128113879
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Middle,2,181,8,129,112,15,16,30.1,16.125,4.276243093922652,22.625,61.87845303867403,8.287292817679559
raw_00000000_0000_0000_0000_000000000003,********,********,One Day,Middle,2,65,2,46,33,3,9,10.5,23.0,4.246153846153846,32.5,50.76923076923077,4.615384615384615
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Middle,2,52,2,52,26,8,4,8.4,26.0,6.0,26.0,50.0,15.384615384615385
raw_00000000_0000_0000_0000_000000000005,********,********,One Day,Middle,2,5,0,4,3,0,1,0.5,,4.8,,60.0,0.0
raw_2b7e6a6e_6ff1_4537_ab41_2c9b79dfe3d3,********,********,One Day,Middle,2,17,0,18,8,2,2,2.5,,6.352941176470588,,47.05882352941177,11.764705882352942
raw_5e62067a_ccc3_462c_af16_e0bfe01dd083,********,********,One Day,Middle,2,1,0,1,0,0,1,0.1,,6.0,,0.0,0.0
raw_77f4c44d_53c5_433b_88df_aa6b35dbc161,********,********,One Day,Middle,2,18,0,12,9,0,2,3.0,,4.0,,50.0,0.0
raw_b38ebac0_d6e2_40f0_9c56_e71cda5ce28c,********,********,One Day,Middle,2,53,4,16,38,0,8,8.5,4.0,1.8113207547169812,13.25,71.69811320754717,0.0
raw_b4a4b4f2_b9f0_4da2_8af9_45d1b275df8b,********,********,One Day,Middle,2,68,2,66,36,8,8,11.2,33.0,5.823529411764706,34.0,52.94117647058823,11.764705882352942
raw_d2841d79_9eae_4922_86a3_296e28f61374,********,********,One Day,Middle,2,4,1,3,1,0,1,0.4,3.0,4.5,4.0,25.0,0.0
raw_ef74c99f_2da9_4a87_8a80_c646782ae75e,********,********,One Day,Middle,2,6,0,4,5,1,1,1.0,,4.0,,83.33333333333333,16.666666666666668
