player_id,player_name,short_name,club,matches,bowlingWickets,bowlingMaidens,bowlingRuns,bowlingBalls,bowling5WIs,bowling10WMs,bowlingBestInnings,bowlingAverage,bowlingStrikeRate,bowlingEconomyRate,bowlingWides,bowlingNoBalls,team_id,team_name,grade_id,grade_name,season_id,season,season_start_date,competition_name,bowlingWicketsUnassisted,raw_player_id,raw_player_name,canonical_player_id,canonical_player_name
00a94e57-9767-4f8f-9f62-e8d5f7f161e2,Marichamy Arumugam,M Arumugam,Georges River Cricket Club,16.0,25.0,15.0,358.0,552.0,0.0,0.0,4-10,14.32,22.08,3.89,11.0,2.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,00a94e57-9767-4f8f-9f62-e8d5f7f161e2,Marichamy Arumugam,raw_00a94e57_9767_4f8f_9f62_e8d5f7f161e2,Marichamy Arumugam
75a92b2d-b45e-451c-ae55-5e4aaa584259,Sri Sakthi Kumaran,S Kumaran,Georges River Cricket Club,17.0,21.0,19.0,338.0,600.0,0.0,0.0,3-9,16.1,28.57,3.38,4.0,0.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,75a92b2d-b45e-451c-ae55-5e4aaa584259,Sri Sakthi Kumaran,raw_75a92b2d_b45e_451c_ae55_5e4aaa584259,Sri Sakthi Kumaran
3b4c82fd-7f94-4bd3-9d17-56e06516207d,NOOKARAJESH VARMA SANGADI,N SANGADI,Georges River Cricket Club,14.0,18.0,5.0,278.0,345.0,1.0,0.0,5-26,15.44,19.17,4.83,8.0,4.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,3b4c82fd-7f94-4bd3-9d17-56e06516207d,Nookarajesh Varma Sangadi,raw_3b4c82fd_7f94_4bd3_9d17_56e06516207d,Nookarajesh Varma Sangadi
a7c2695a-438f-4077-a772-52e038624dd0,Balamurali Balagurusamy,B Balagurusamy,Georges River Cricket Club,16.0,10.0,4.0,154.0,174.0,0.0,0.0,4-23,15.4,17.4,5.31,27.0,1.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,a7c2695a-438f-4077-a772-52e038624dd0,Balamurali Balagurusamy,raw_a7c2695a_438f_4077_a772_52e038624dd0,Balamurali Balagurusamy
78f7dbdc-8da8-4f0e-a3ed-1ef419f43a12,Sunilkumar Arumugam,S Arumugam,Georges River Cricket Club,18.0,9.0,1.0,118.0,163.0,0.0,0.0,3-23,13.11,18.11,4.34,14.0,5.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,78f7dbdc-8da8-4f0e-a3ed-1ef419f43a12,Sunilkumar Arumugam,raw_78f7dbdc_8da8_4f0e_a3ed_1ef419f43a12,Sunilkumar Arumugam
703d8f2e-303f-42a6-b5bf-ccff51eb4769,Krishnasaicharan Aianampudi,K Aianampudi,Georges River Cricket Club,15.0,9.0,7.0,138.0,270.0,0.0,0.0,4-23,15.33,30.0,3.07,9.0,2.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,703d8f2e-303f-42a6-b5bf-ccff51eb4769,Krishnasaicharan Aianampudi,raw_703d8f2e_303f_42a6_b5bf_ccff51eb4769,Krishnasaicharan Aianampudi
56f6b525-a92b-4173-a1c5-ab1357922f6f,Chandru Mohan,C Mohan,Georges River Cricket Club,14.0,9.0,3.0,214.0,246.0,0.0,0.0,2-12,23.78,27.33,5.22,13.0,1.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,56f6b525-a92b-4173-a1c5-ab1357922f6f,Chandru Mohan,raw_56f6b525_a92b_4173_a1c5_ab1357922f6f,Chandru Mohan
cd6abaee-9331-4ce3-b970-3e1512d8c5b8,Krishnasamy Kasthuri,K Kasthuri,Georges River Cricket Club,6.0,6.0,1.0,167.0,217.0,0.0,0.0,2-18,27.83,36.17,4.62,3.0,0.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,cd6abaee-9331-4ce3-b970-3e1512d8c5b8,Krishnasamy Kasthuri,raw_cd6abaee_9331_4ce3_b970_3e1512d8c5b8,Krishnasamy Kasthuri
67373f16-4af1-4dc9-bc20-1d00ccd91c51,Manoj Kumar,M Kumar,Georges River Cricket Club,7.0,4.0,3.0,84.0,126.0,0.0,0.0,2-29,21.0,31.5,4.0,2.0,2.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,67373f16-4af1-4dc9-bc20-1d00ccd91c51,Manoj Kumar,raw_67373f16_4af1_4dc9_bc20_1d00ccd91c51,Manoj Kumar
5bb45db2-46e1-4ad9-9870-ad33f0bc6d1a,Mohammed Ismail,M Ismail,Georges River Cricket Club,7.0,4.0,6.0,131.0,210.0,0.0,0.0,2-26,32.75,52.5,3.74,5.0,0.0,22a6e329-d0fd-42c4-9fd2-542e2fe28188,Georges River Sharks,22bdc404-a11e-4d68-9ef0-f416077e3448,Chappelow Cup,a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,CNSW Metropolitan Competitions,,5bb45db2-46e1-4ad9-9870-ad33f0bc6d1a,Mohammed Ismail,raw_5bb45db2_46e1_4ad9_9870_ad33f0bc6d1a,Mohammed Ismail
