player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_00000000_0000_0000_0000_000000000001,raw_00000000_0000_0000_0000_000000000001,********,********,2,0,0,4/22,4,22
raw_d4a6a1eb_7d61_4d79_8959_16d99efb4dee,raw_d4a6a1eb_7d61_4d79_8959_16d99efb4dee,********,********,0,0,0,1/4,1,4
raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,********,********,2,0,0,4/37,4,37
raw_f01efa50_c69e_4d03_90e3_5ce18a37f6a1,raw_f01efa50_c69e_4d03_90e3_5ce18a37f6a1,********,********,3,0,0,4/29,4,29
raw_8c4d9fb6_0061_44bb_9300_c1f54636eee2,raw_8c4d9fb6_0061_44bb_9300_c1f54636eee2,********,********,0,0,0,2/25,2,25
raw_00000000_0000_0000_0000_000000000002,raw_00000000_0000_0000_0000_000000000002,********,********,0,0,0,2/21,2,21
raw_00000000_0000_0000_0000_000000000003,raw_00000000_0000_0000_0000_000000000003,********,********,1,0,0,3/13,3,13
raw_90196315_0c93_4f37_a44d_1f4f963aa015,raw_90196315_0c93_4f37_a44d_1f4f963aa015,********,********,1,0,0,3/26,3,26
raw_f5091c31_a4cc_4608_b3fb_7755f1d77ce1,raw_f5091c31_a4cc_4608_b3fb_7755f1d77ce1,********,********,0,0,0,1/0,1,0
raw_bc791950_7f70_4d30_83e9_15a982c0bfe7,raw_bc791950_7f70_4d30_83e9_15a982c0bfe7,********,********,8,1,0,5/16,5,16
raw_283baa42_cf3c_4d19_bd1f_5861a7738ad8,raw_283baa42_cf3c_4d19_bd1f_5861a7738ad8,********,********,0,0,0,1/40,1,40
raw_06e9b44f_37a4_4d46_9b6a_3ea2cd1725f1,raw_06e9b44f_37a4_4d46_9b6a_3ea2cd1725f1,Aadil Shariff,Aadil Shariff,0,0,0,2/14,2,14
raw_4b6b5d65_6229_4099_96a1_e28ca83febd0,raw_4b6b5d65_6229_4099_96a1_e28ca83febd0,Aamir Chaudhry,Aamir Chaudhry,2,0,0,3/5,3,5
raw_148b172f_0589_4763_a619_8556f7f5d9d4,raw_148b172f_0589_4763_a619_8556f7f5d9d4,Aaron Greening,Aaron Greening,0,0,0,2/25,2,25
raw_039b3a80_b6e1_4efb_982b_396728c3b5b5,raw_039b3a80_b6e1_4efb_982b_396728c3b5b5,Aaron Johnston,Aaron Johnston,11,0,0,4/11,4,11
raw_c0047dfa_affe_4793_8c1b_4dbd37d21d0c,raw_c0047dfa_affe_4793_8c1b_4dbd37d21d0c,Aaron Mall,Aaron Mall,1,0,0,4/40,4,40
raw_fb4ac50e_7036_497f_8645_00b90272677d,raw_fb4ac50e_7036_497f_8645_00b90272677d,Abdur Rehman Javed,Abdur Rehman Javed,1,0,0,3/33,3,33
raw_f235b6c2_84b0_4c9a_ada9_1f06c4a210d3,raw_f235b6c2_84b0_4c9a_ada9_1f06c4a210d3,Abhinav Bose,Abhinav Bose,0,0,0,2/6,2,6
raw_b664360e_4c8c_413e_8c84_0fb1532c5c22,raw_b664360e_4c8c_413e_8c84_0fb1532c5c22,Abhinav Goswami,Abhinav Goswami,3,0,0,4/2,4,2
raw_ddfca0c2_efe8_4359_967e_516d6717eed9,raw_ddfca0c2_efe8_4359_967e_516d6717eed9,Adam Carrall,Adam Carrall,26,7,0,7/26,7,26
raw_ce8a7015_cbf1_4275_9a11_6ce58d288b94,raw_ce8a7015_cbf1_4275_9a11_6ce58d288b94,Adam Finlayson,Adam Finlayson,0,0,0,2/17,2,17
adam_scott,adam_scott,Adam Scott,Adam Scott,7,0,0,3/4,3,4
raw_3bede9a1_9979_4f2c_8d33_2fb5af821444,raw_3bede9a1_9979_4f2c_8d33_2fb5af821444,Adam Wilson,Adam Wilson,9,0,0,4/10,4,10
raw_810a7da4_ff40_43f9_8fc9_3cbb6723ad0b,raw_810a7da4_ff40_43f9_8fc9_3cbb6723ad0b,Adeel Shah,Adeel Shah,2,0,0,3/47,3,47
raw_169537d6_21b0_4a38_9f4f_26a533d211f3,raw_169537d6_21b0_4a38_9f4f_26a533d211f3,Adil Mohammed,Adil Mohammed,0,1,0,5/34,5,34
raw_f2e6d299_b9b2_4a11_a472_b3f45ea2b8ba,raw_f2e6d299_b9b2_4a11_a472_b3f45ea2b8ba,Ahmed Bajouri,Ahmed Bajouri,0,0,0,0/16,0,16
raw_0677b72d_b1b1_433e_803b_7b79cb5c5ef9,raw_0677b72d_b1b1_433e_803b_7b79cb5c5ef9,Aidan Simmons,Aidan Simmons,1,0,0,3/30,3,30
aidan_wood,aidan_wood,Aidan Wood,Aidan Wood,1,0,0,3/41,3,41
raw_4319d7a2_cc65_45d7_9e9f_02715be54bae,raw_4319d7a2_cc65_45d7_9e9f_02715be54bae,Ajaya Lama,Ajaya Lama,0,0,0,1/11,1,11
raw_e401f488_b86e_4591_b42c_e8c4bb674f32,raw_e401f488_b86e_4591_b42c_e8c4bb674f32,Akash Padavala,Akash Padavala,0,1,0,5/39,5,39
raw_19be25af_a00f_4eda_9d1d_2a89079db6b7,raw_19be25af_a00f_4eda_9d1d_2a89079db6b7,Alan Willmore,Alan Willmore,10,1,0,5/29,5,29
