canonical_player_id,canonical_player_name,display_player_name,premiership_count,seasons,grades,teams,latest_premiership_season,evidence_match_ids,confidence
raw_dd29171f_c437_4aa9_9744_dc51eca907ef,Luke Byron,Luke Byron,5,"Summer 2013/14, Summer 2014/15, Summer 2015/16, Summer 2016/17, Summer 2018/19","Frank Gray Shield, Fourth Grade",Georges River,Summer 2018/19,"1f387468-81d6-4459-9962-35fd64dd9b71, 3d9f87cb-01b9-4ada-b8e8-00436fee077d, 48c02648-e9de-4029-b7b9-fa6691bc393a, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05, e06a46d4-74ce-4f0b-bbbd-7d24d3270d99",high
raw_632f6261_fe2d_42de_b2e6_611786607348,Ben Saunders,Ben Saunders,4,"Summer 2013/14, Summer 2016/17, Summer 2018/19, Summer 2023/24","Frank Gray Shield, First Grade Limited Overs, Fourth Grade","Georges River, Georges River 1st Grade L/O",Summer 2023/24,"1f387468-81d6-4459-9962-35fd64dd9b71, 48c02648-e9de-4029-b7b9-fa6691bc393a, 72778169-b055-4320-a382-7b7d4d42a50b, e06a46d4-74ce-4f0b-bbbd-7d24d3270d99",high
raw_db0ccde6_0c49_4430_ae43_2a22edf4f12c,Curtis Cheney,Curtis Cheney,4,"Summer 2014/15, Summer 2015/16, Summer 2016/17, Summer 2018/19",Frank Gray Shield,Georges River,Summer 2018/19,"1f387468-81d6-4459-9962-35fd64dd9b71, 3d9f87cb-01b9-4ada-b8e8-00436fee077d, 48c02648-e9de-4029-b7b9-fa6691bc393a, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05",high
raw_c1f2e2bb_d889_4548_85c2_9d75972438da,Patrick Kennedy,Patrick Kennedy,4,"Summer 2013/14, Summer 2014/15, Summer 2015/16, Summer 2018/19","Frank Gray Shield, Fourth Grade",Georges River,Summer 2018/19,"1f387468-81d6-4459-9962-35fd64dd9b71, 3d9f87cb-01b9-4ada-b8e8-00436fee077d, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05, e06a46d4-74ce-4f0b-bbbd-7d24d3270d99",high
raw_18720bbd_9c5c_4561_9a83_87f03c03164a,Dayle Carew,Dayle Carew,4,"Summer 2012/13, Summer 2014/15, Summer 2015/16, Summer 2016/17","Frank Gray Shield, Fourth Grade",Georges River,Summer 2016/17,"3d9f87cb-01b9-4ada-b8e8-00436fee077d, 48c02648-e9de-4029-b7b9-fa6691bc393a, c9781c8d-f443-408d-bdaa-ce6a50b392c3, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05",high
raw_c2716849_46e2_40fd_88d7_1236050da2c8,Nathan Napier,Nathan Napier,4,"Summer 2012/13, Summer 2013/14, Summer 2015/16, Summer 2016/17","Frank Gray Shield, Fourth Grade",Georges River,Summer 2016/17,"3d9f87cb-01b9-4ada-b8e8-00436fee077d, 48c02648-e9de-4029-b7b9-fa6691bc393a, c9781c8d-f443-408d-bdaa-ce6a50b392c3, e06a46d4-74ce-4f0b-bbbd-7d24d3270d99",high
raw_a6d08818_bc3f_4c99_8d99_9b4b6419a5cb,Christopher Mcarthur,Christopher Mcarthur,3,"Summer 2014/15, Summer 2015/16, Summer 2023/24","Frank Gray Shield, First Grade Limited Overs","Georges River, Georges River 1st Grade L/O",Summer 2023/24,"3d9f87cb-01b9-4ada-b8e8-00436fee077d, 72778169-b055-4320-a382-7b7d4d42a50b, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05",high
raw_2ddc846e_5bc6_4882_a42e_a648c92c0adc,Daniel Yates,Daniel Yates,3,"Summer 2014/15, Summer 2015/16, Summer 2023/24","Frank Gray Shield, First Grade Limited Overs","Georges River, Georges River 1st Grade L/O",Summer 2023/24,"3d9f87cb-01b9-4ada-b8e8-00436fee077d, 72778169-b055-4320-a382-7b7d4d42a50b, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05",high
raw_e3188c42_2e91_4155_ad54_eeeb1c79e9c7,Jarrod Mazurkiewicz,Jarrod Mazurkiewicz,3,"Summer 2017/18, Summer 2018/19, Summer 2023/24","Frank Gray Shield, First Grade Limited Overs, Third Grade","Georges River, Georges River 1st Grade L/O",Summer 2023/24,"1f387468-81d6-4459-9962-35fd64dd9b71, 72778169-b055-4320-a382-7b7d4d42a50b, b6aba9e3-19a9-4c69-9389-bcc818e84dc5",high
raw_911b3202_acc3_48a1_a0e1_52ddefcde146,Nicholas Henriques,Nicholas Henriques,3,"Summer 2014/15, Summer 2015/16, Summer 2023/24","Frank Gray Shield, First Grade Limited Overs","Georges River, Georges River 1st Grade L/O",Summer 2023/24,"3d9f87cb-01b9-4ada-b8e8-00436fee077d, 72778169-b055-4320-a382-7b7d4d42a50b, dbd93ffd-5dc3-4b46-95f7-f8da851c2e05",high
