canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Opening,1,54,1,54,38,9,2,9.0,54.0,6.0,54.0,70.37037037037037,16.666666666666668
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Opening,1,6,0,1,5,0,1,1.0,,1.0,,83.33333333333333,0.0
raw_00000000_0000_0000_0000_000000000003,********,********,One Day,Opening,1,6,0,1,5,0,1,1.0,,1.0,,83.33333333333333,0.0
raw_283baa42_cf3c_4d19_bd1f_5861a7738ad8,********,********,One Day,Opening,1,6,0,2,4,0,1,1.0,,2.0,,66.66666666666667,0.0
raw_8c4d9fb6_0061_44bb_9300_c1f54636eee2,********,********,One Day,Opening,1,6,0,9,3,1,1,1.0,,9.0,,50.0,16.666666666666668
raw_bc791950_7f70_4d30_83e9_15a982c0bfe7,********,********,One Day,Opening,1,168,9,110,114,13,8,28.0,12.222222222222221,3.9285714285714284,18.666666666666668,67.85714285714286,7.738095238095238
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Middle,2,126,6,74,95,11,7,21.0,12.333333333333334,3.5238095238095237,21.0,75.39682539682539,8.73015873015873
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Middle,2,72,1,48,45,5,4,12.0,48.0,4.0,72.0,62.5,6.944444444444445
raw_00000000_0000_0000_0000_000000000003,********,********,One Day,Middle,2,42,2,16,29,0,1,7.0,8.0,2.2857142857142856,21.0,69.04761904761905,0.0
raw_283baa42_cf3c_4d19_bd1f_5861a7738ad8,********,********,One Day,Middle,2,26,0,37,14,6,2,4.2,,8.538461538461538,,53.84615384615385,23.076923076923077
raw_8c4d9fb6_0061_44bb_9300_c1f54636eee2,********,********,One Day,Middle,2,73,4,35,55,4,4,12.1,8.75,2.8767123287671232,18.25,75.34246575342466,5.47945205479452
raw_bc791950_7f70_4d30_83e9_15a982c0bfe7,********,********,One Day,Middle,2,537,18,320,366,27,23,89.3,17.77777777777778,3.5754189944134076,29.833333333333332,68.15642458100558,5.027932960893855
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Death,3,45,3,25,32,3,3,7.3,8.333333333333334,3.3333333333333335,15.0,71.11111111111111,6.666666666666667
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Death,3,30,0,33,10,2,1,5.0,,6.6,,33.333333333333336,6.666666666666667
raw_8c4d9fb6_0061_44bb_9300_c1f54636eee2,********,********,One Day,Death,3,11,1,10,7,2,2,1.5,10.0,5.454545454545454,11.0,63.63636363636363,18.181818181818183
raw_bc791950_7f70_4d30_83e9_15a982c0bfe7,********,********,One Day,Death,3,187,14,133,107,10,14,31.1,9.5,4.267379679144385,13.357142857142858,57.219251336898395,5.347593582887701
raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,********,********,T20,Opening,1,6,1,4,2,0,1,1.0,4.0,4.0,6.0,33.333333333333336,0.0
raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,********,********,T20,Middle,2,17,0,10,8,0,1,2.5,,3.5294117647058822,,47.05882352941177,0.0
raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,********,********,T20,Death,3,6,0,8,3,1,1,1.0,,8.0,,50.0,16.666666666666668
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,New Ball,1,36,0,15,28,1,1,6.0,,2.5,,77.77777777777777,2.7777777777777777
raw_ec214c4a_a69b_49b8_a1f7_5e41ee81e12b,********,********,Two Day,New Ball,1,105,5,29,86,1,6,17.3,5.8,1.6571428571428573,21.0,81.9047619047619,0.9523809523809523
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,Older Ball,2,30,0,51,15,9,1,5.0,,10.2,,50.0,30.0
raw_283baa42_cf3c_4d19_bd1f_5861a7738ad8,********,********,Two Day,Older Ball,2,42,0,33,25,4,1,7.0,,4.714285714285714,,59.523809523809526,9.523809523809524
