source_file,source_sheet,source_row,player_name,season,team_or_grade,metric_group,qa_status,action,data_confidence,issue_count,issue_codes,issue_reasons
bexley_stats_spreadsheets.xlsx,1930-31,54,14 5,Summer 1930/31,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1931-32,53,13 2,Summer 1931/32,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1934-35,48,14,Summer 1934/35,Historical club summary,batting,rejected,excluded_from_records,low,1,numeric_only_player_name,Numeric-only player names are likely row numbers or batting-order values.
bexley_stats_spreadsheets.xlsx,1934-35,52,14 4,Summer 1934/35,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1935-36,56,11 4,Summer 1935/36,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1935-36,60,10,Summer 1935/36,Historical club summary,batting,rejected,excluded_from_records,low,1,numeric_only_player_name,Numeric-only player names are likely row numbers or batting-order values.
bexley_stats_spreadsheets.xlsx,1936-37,55,12 4,Summer 1936/37,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1939-40,67,12 3,Summer 1939/40,Historical club summary,batting,rejected,excluded_from_records,low,3,battingNotOuts; not_outs_not_above_innings; high_numerator_zero_dismissals,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.; Runs recorded with zero dismissals; average cannot be independently reconciled.
bexley_stats_spreadsheets.xlsx,1940-41,56,13 3,Summer 1940/41,Historical club summary,batting,rejected,excluded_from_records,low,2,battingNotOuts; not_outs_not_above_innings,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.
bexley_stats_spreadsheets.xlsx,1940-41,60,13 3,Summer 1940/41,Historical club summary,batting,rejected,excluded_from_records,low,3,battingNotOuts; not_outs_not_above_innings; high_numerator_zero_dismissals,Not-outs cannot exceed innings.; not_outs_not_above_innings cannot exceed innings.; Runs recorded with zero dismissals; average cannot be independently reconciled.
