canonical_player_id,canonical_player_name,display_player_name,premiership_count,seasons,grades,teams,latest_premiership_season,evidence_match_ids,confidence
raw_b8d2d93c_0fc0_4e1f_9671_f1fc051e10d5,Jarrod Greaves,Jarrod Greaves,7,"Summer 1995/96, Summer 2000/01, Summer 2003/04, Summer 2011/12, Summer 2012/13, Summer 2016/17, Summer 2017/18","Wilson Shield Grade 2nds, A1 Grade, Howard Wilson Shield, Twenty20 Track On Shield",Glen Waverley Hawks,Summer 2017/18,"1284d2b3-85d5-4f78-9598-9e06ea403204, 18a35904-ea9e-4bc5-a211-ed708588a799, 2e237ca1-66e0-49e0-a333-b5f227540a0f, 32cfac10-1913-484c-bbeb-0d5c4aabd098, 3dd9c4d7-479f-446a-8f34-5fd0cb43ff8d, 7a0431de-23b9-4e0f-bd05-509c54442898, eed7365a-0237-4a7f-acee-33d0dfbfb1e9",high
raw_2eb66829_4ec3_48a7_b05e_df08bc053553,Brett Powell,Brett Powell,5,"Summer 1995/96, Summer 2000/01, Summer 2016/17, Summer 2017/18","A1 Grade, Howard Wilson Shield, Twenty20 Track On Shield, A Grade (12 Player Grade - 80 Overs)",Glen Waverley Hawks,Summer 2017/18,"2e237ca1-66e0-49e0-a333-b5f227540a0f, 32cfac10-1913-484c-bbeb-0d5c4aabd098, 3dd9c4d7-479f-446a-8f34-5fd0cb43ff8d, 65cee2cd-b406-4436-ab33-3ecae7e202a6, 7a0431de-23b9-4e0f-bd05-509c54442898",high
raw_2a9340d0_cfdd_447e_8601_370472fd4b41,Glen Mahoney,Glen Mahoney,5,"Summer 1995/96, Summer 2000/01, Summer 2003/04, Summer 2011/12, Summer 2012/13","Wilson Shield Grade 2nds, A1 Grade",Glen Waverley Hawks,Summer 2012/13,"1284d2b3-85d5-4f78-9598-9e06ea403204, 18a35904-ea9e-4bc5-a211-ed708588a799, 2e237ca1-66e0-49e0-a333-b5f227540a0f, 7a0431de-23b9-4e0f-bd05-509c54442898, eed7365a-0237-4a7f-acee-33d0dfbfb1e9",high
raw_289b8e53_aa95_4072_8288_588447304bcd,Matthew Briginshaw,Matthew Briginshaw,4,"Summer 2000/01, Summer 2003/04, Summer 2012/13, Summer 2025/26","A1 Grade, C Grade (70 Overs, 12 Players), Wilson Shield Grade 2nds","Glen Waverley Hawks, Glen Waverley Hawks - 2nd XI",Summer 2025/26,"18a35904-ea9e-4bc5-a211-ed708588a799, 7a0431de-23b9-4e0f-bd05-509c54442898, 985a4ddd-5c3d-452a-bf60-9908223519d3, eed7365a-0237-4a7f-acee-33d0dfbfb1e9",high
raw_3944cc2f_c318_41fa_aa71_43f922fe581c,Kashif Javed,Kashif Javed,4,"Summer 2014/15, Summer 2016/17, Summer 2022/23, Summer 2023/24","Twenty20 Club Builder Shield, One Day B Grade, A Grade (12 Player Grade - 80 Overs), B Grade (80 Overs, 12 Players)","Glen Waverley Hawks, Glen Waverley Hawks - 2nd XI",Summer 2023/24,"1287c2b6-541f-44bc-9a7d-e4c6e203fbb4, 58e01794-a67d-4dcb-a2cd-4adcfbeeaa5e, 65cee2cd-b406-4436-ab33-3ecae7e202a6, e49c155a-a161-43c3-b8f6-80ed1db52ca7",high
raw_4cbe514e_6871_43d6_8f6e_bbdc5c8c8a9c,Patrick Eldridge,Patrick Eldridge,4,"Summer 2011/12, Summer 2012/13, Summer 2016/17, Summer 2017/18","Wilson Shield Grade 2nds, Howard Wilson Shield, A Grade (12 Player Grade - 80 Overs)",Glen Waverley Hawks,Summer 2017/18,"1284d2b3-85d5-4f78-9598-9e06ea403204, 32cfac10-1913-484c-bbeb-0d5c4aabd098, 65cee2cd-b406-4436-ab33-3ecae7e202a6, eed7365a-0237-4a7f-acee-33d0dfbfb1e9",high
raw_59057be9_29af_4675_a662_7370e4f9cd44,Nathan Bungey,Nathan Bungey,4,"Summer 2003/04, Summer 2011/12, Summer 2012/13, Summer 2016/17","Wilson Shield Grade 2nds, A1 Grade, A Grade (12 Player Grade - 80 Overs)",Glen Waverley Hawks,Summer 2016/17,"1284d2b3-85d5-4f78-9598-9e06ea403204, 18a35904-ea9e-4bc5-a211-ed708588a799, 65cee2cd-b406-4436-ab33-3ecae7e202a6, eed7365a-0237-4a7f-acee-33d0dfbfb1e9",high
raw_d8c1a316_f1aa_4662_b8f4_46953c7d6d73,Brendan Coull,Brendan Coull,3,"Summer 2008/09, Summer 2014/15, Summer 2025/26","One Day B Grade, C1 Grade, C Grade (70 Overs, 12 Players)","Glen Waverley Hawks, Glen Waverley Hawks - 2nd XI",Summer 2025/26,"58e01794-a67d-4dcb-a2cd-4adcfbeeaa5e, 66dc58fe-a829-4d91-97e0-72a429c54a59, 985a4ddd-5c3d-452a-bf60-9908223519d3",high
raw_237ceb1c_17d7_4296_9506_e785f681755a,Grant Haye,Grant Haye,3,"Summer 2016/17, Summer 2017/18, Summer 2023/24","Howard Wilson Shield, Twenty20 Track On Shield, B Grade (80 Overs, 12 Players)","Glen Waverley Hawks, Glen Waverley Hawks - 2nd XI",Summer 2023/24,"32cfac10-1913-484c-bbeb-0d5c4aabd098, 3dd9c4d7-479f-446a-8f34-5fd0cb43ff8d, e49c155a-a161-43c3-b8f6-80ed1db52ca7",high
max_taborsky,Max Taborsky,Max Taborsky,3,"Summer 2021/22, Summer 2022/23, Summer 2023/24","Twenty20 Club Builder Shield, Under 16 B Friday, B Grade (80 Overs, 12 Players)","Glen Waverley Hawks, Glen Waverley Hawks - 2nd XI",Summer 2023/24,"1287c2b6-541f-44bc-9a7d-e4c6e203fbb4, b3ff3cb1-7c3b-43bf-9638-136bdef33c89, e49c155a-a161-43c3-b8f6-80ed1db52ca7",high
