canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Opening,1,88,4,55,54,6,10,14.4,13.75,3.75,22.0,61.36363636363637,6.818181818181818
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Opening,1,4,0,3,1,0,1,0.4,,4.5,,25.0,0.0
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Opening,1,4,0,1,3,0,1,0.4,,1.5,,75.0,0.0
raw_00000000_0000_0000_0000_000000000005,********,********,One Day,Opening,1,6,0,3,4,0,1,1.0,,3.0,,66.66666666666667,0.0
raw_94b482bd_19fc_498c_a513_920887408155,********,********,One Day,Opening,1,6,0,7,3,1,1,1.0,,7.0,,50.0,16.666666666666668
raw_c6a002fb_1fb2_42af_a51d_079e609bb75e,********,********,One Day,Opening,1,4,0,1,3,0,1,0.4,,1.5,,75.0,0.0
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Middle,2,51,2,35,31,3,8,8.3,17.5,4.117647058823529,25.5,60.78431372549019,5.882352941176471
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Middle,2,10,0,4,6,0,1,1.4,,2.4,,60.0,0.0
raw_00000000_0000_0000_0000_000000000003,********,********,One Day,Middle,2,5,0,0,5,0,1,0.5,,0.0,,100.0,0.0
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Middle,2,4,0,7,2,1,1,0.4,,10.5,,50.0,25.0
raw_00000000_0000_0000_0000_000000000005,********,********,One Day,Middle,2,11,0,13,5,1,1,1.5,,7.090909090909091,,45.45454545454545,9.090909090909092
raw_94b482bd_19fc_498c_a513_920887408155,********,********,One Day,Middle,2,6,0,0,6,0,1,1.0,,0.0,,100.0,0.0
raw_c6a002fb_1fb2_42af_a51d_079e609bb75e,********,********,One Day,Middle,2,10,0,15,4,3,1,1.4,,9.0,,40.0,30.0
raw_270f6060_71b5_4a9f_adee_d3186f66c2a1,********,********,T20,Opening,1,6,0,14,3,3,1,1.0,,14.0,,50.0,50.0
raw_00000000_0000_0000_0000_000000000001,********,********,T20,Middle,2,12,0,17,4,2,1,2.0,,8.5,,33.333333333333336,16.666666666666668
raw_270f6060_71b5_4a9f_adee_d3186f66c2a1,********,********,T20,Middle,2,6,0,3,4,0,1,1.0,,3.0,,66.66666666666667,0.0
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,New Ball,1,35,0,25,23,2,2,5.5,,4.285714285714286,,65.71428571428571,5.714285714285714
raw_94b482bd_19fc_498c_a513_920887408155,********,********,Two Day,New Ball,1,11,0,3,8,0,1,1.5,,1.6363636363636365,,72.72727272727273,0.0
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,Older Ball,2,36,0,20,26,2,1,6.0,,3.3333333333333335,,72.22222222222223,5.555555555555555
raw_94b482bd_19fc_498c_a513_920887408155,********,********,Two Day,Older Ball,2,75,0,43,52,5,3,12.3,,3.44,,69.33333333333333,6.666666666666667
raw_70ac772e_7fe4_4e49_968e_0f70599f89c1,Aadhi Ponniraivan,Aadhi Ponniraivan,One Day,Opening,1,62,0,39,36,2,10,10.2,,3.774193548387097,,58.064516129032256,3.225806451612903
raw_70ac772e_7fe4_4e49_968e_0f70599f89c1,Aadhi Ponniraivan,Aadhi Ponniraivan,One Day,Middle,2,60,3,35,29,0,10,10.0,11.666666666666666,3.5,20.0,48.333333333333336,0.0
raw_70ac772e_7fe4_4e49_968e_0f70599f89c1,Aadhi Ponniraivan,Aadhi Ponniraivan,Two Day,New Ball,1,20,0,11,15,2,3,3.2,,3.3,,75.0,10.0
raw_70ac772e_7fe4_4e49_968e_0f70599f89c1,Aadhi Ponniraivan,Aadhi Ponniraivan,Two Day,Older Ball,2,46,1,15,35,1,5,7.4,15.0,1.9565217391304348,46.0,76.08695652173913,2.1739130434782608
raw_c5632560_1b25_499d_bf18_faf1632b1b01,Aaditya Bhaber,Aaditya Bhaber,One Day,Opening,1,32,2,6,29,1,4,5.2,3.0,1.125,16.0,90.625,3.125
raw_c5632560_1b25_499d_bf18_faf1632b1b01,Aaditya Bhaber,Aaditya Bhaber,One Day,Middle,2,33,0,15,22,1,3,5.3,,2.727272727272727,,66.66666666666667,3.0303030303030303
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,One Day,Opening,1,12,1,3,10,0,1,2.0,3.0,1.5,12.0,83.33333333333333,0.0
raw_a6c1b437_7369_4383_bbed_a43eef1240ec,Aaditya Sharma,Aaditya Sharma,One Day,Opening,1,6,0,9,3,2,1,1.0,,9.0,,50.0,33.333333333333336
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,One Day,Middle,2,97,2,99,48,11,6,16.1,49.5,6.123711340206185,48.5,49.48453608247423,11.34020618556701
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,One Day,Death,3,64,1,67,26,6,4,10.4,67.0,6.28125,64.0,40.625,9.375
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,T20,Opening,1,12,1,17,5,3,1,2.0,17.0,8.5,12.0,41.666666666666664,25.0
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,T20,Death,3,4,0,7,1,1,1,0.4,,10.5,,25.0,25.0
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,Two Day,New Ball,1,6,0,0,6,0,1,1.0,,0.0,,100.0,0.0
raw_a6c1b437_7369_4383_bbed_a43eef1240ec,Aaditya Sharma,Aaditya Sharma,Two Day,New Ball,1,6,0,11,1,1,1,1.0,,11.0,,16.666666666666668,16.666666666666668
raw_65f090c7_8bb5_4748_967e_fd4cd1d7a994,Aaditya Sharma,Aaditya Sharma,Two Day,Older Ball,2,185,9,102,117,6,9,30.5,11.333333333333334,3.308108108108108,20.555555555555557,63.24324324324324,3.2432432432432434
raw_a6c1b437_7369_4383_bbed_a43eef1240ec,Aaditya Sharma,Aaditya Sharma,Two Day,Older Ball,2,56,3,33,35,3,3,9.2,11.0,3.5357142857142856,18.666666666666668,62.5,5.357142857142857
raw_e4c36604_d42a_4f39_b174_42a38c079eb9,Aadiv Tyagi,Aadiv Tyagi,One Day,Opening,1,92,4,45,61,3,16,15.2,11.25,2.9347826086956523,23.0,66.30434782608695,3.260869565217391
raw_e4c36604_d42a_4f39_b174_42a38c079eb9,Aadiv Tyagi,Aadiv Tyagi,One Day,Middle,2,149,7,80,98,7,17,24.5,11.428571428571429,3.221476510067114,21.285714285714285,65.77181208053692,4.697986577181208
raw_e4c36604_d42a_4f39_b174_42a38c079eb9,Aadiv Tyagi,Aadiv Tyagi,Two Day,New Ball,1,61,1,45,33,4,5,10.1,45.0,4.426229508196721,61.0,54.09836065573771,6.557377049180328
raw_e4c36604_d42a_4f39_b174_42a38c079eb9,Aadiv Tyagi,Aadiv Tyagi,Two Day,Older Ball,2,53,1,10,44,0,4,8.5,10.0,1.1320754716981132,53.0,83.01886792452831,0.0
raw_44ef0345_e5d1_4896_8494_4564fbbdb792,Aakash Kokulan,Aakash Kokulan,One Day,Opening,1,84,6,35,59,2,13,14.0,5.833333333333333,2.5,14.0,70.23809523809524,2.380952380952381
raw_44ef0345_e5d1_4896_8494_4564fbbdb792,Aakash Kokulan,Aakash Kokulan,One Day,Middle,2,82,3,54,50,4,12,13.4,18.0,3.951219512195122,27.333333333333332,60.97560975609756,4.878048780487805
raw_555f60bb_a6b7_4715_b195_0fe670946485,Aakrish Kanav,Aakrish Kanav,One Day,Opening,1,143,7,77,98,8,15,23.5,11.0,3.230769230769231,20.428571428571427,68.53146853146853,5.594405594405594
raw_555f60bb_a6b7_4715_b195_0fe670946485,Aakrish Kanav,Aakrish Kanav,One Day,Middle,2,126,4,56,84,3,13,21.0,14.0,2.6666666666666665,31.5,66.66666666666667,2.380952380952381
raw_555f60bb_a6b7_4715_b195_0fe670946485,Aakrish Kanav,Aakrish Kanav,Two Day,New Ball,1,58,5,8,51,0,5,9.4,1.6,0.8275862068965517,11.6,87.93103448275862,0.0
raw_555f60bb_a6b7_4715_b195_0fe670946485,Aakrish Kanav,Aakrish Kanav,Two Day,Older Ball,2,54,3,9,47,0,5,9.0,3.0,1.0,18.0,87.03703703703704,0.0
aansh_pandya,Aansh Pandya,Aansh Pandya,One Day,Opening,1,142,1,88,93,10,22,23.4,88.0,3.7183098591549295,142.0,65.49295774647888,7.042253521126761
aansh_pandya,Aansh Pandya,Aansh Pandya,One Day,Middle,2,144,9,64,93,2,19,24.0,7.111111111111111,2.6666666666666665,16.0,64.58333333333333,1.3888888888888888
aansh_pandya,Aansh Pandya,Aansh Pandya,Two Day,New Ball,1,182,6,77,132,6,15,30.2,12.833333333333334,2.5384615384615383,30.333333333333332,72.52747252747253,3.2967032967032965
aansh_pandya,Aansh Pandya,Aansh Pandya,Two Day,Older Ball,2,118,4,43,87,2,12,19.4,10.75,2.1864406779661016,29.5,73.72881355932203,1.694915254237288
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,One Day,Middle,2,106,10,116,48,16,5,17.4,11.6,6.566037735849057,10.6,45.283018867924525,15.09433962264151
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,One Day,Death,3,36,2,32,21,4,2,6.0,16.0,5.333333333333333,18.0,58.333333333333336,11.11111111111111
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,T20,Opening,1,31,0,60,13,10,4,5.1,,11.612903225806452,,41.935483870967744,32.25806451612903
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,T20,Middle,2,32,3,42,13,6,4,5.2,14.0,7.875,10.666666666666666,40.625,18.75
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,Two Day,New Ball,1,12,0,12,9,3,1,2.0,,6.0,,75.0,25.0
raw_bdff7139_fe71_4366_a7cd_15a4e59c20a9,Aarav Madan,Aarav Madan,Two Day,Older Ball,2,210,5,162,120,20,5,35.0,32.4,4.628571428571429,42.0,57.142857142857146,9.523809523809524
raw_8499a61b_7ed5_4b4d_b9d3_5b10fb9ccdbb,Aarav Modi,Aarav Modi,T20,Middle,2,18,1,31,2,4,1,3.0,31.0,10.333333333333334,18.0,11.11111111111111,22.22222222222222
raw_8499a61b_7ed5_4b4d_b9d3_5b10fb9ccdbb,Aarav Modi,Aarav Modi,T20,Death,3,6,0,7,2,1,1,1.0,,7.0,,33.333333333333336,16.666666666666668
raw_c817ad90_4f4c_4b8e_b71a_ff4e14e4fdb0,Aarav Nathoo,Aarav Nathoo,One Day,Opening,1,36,0,37,18,5,5,6.0,,6.166666666666667,,50.0,13.88888888888889
raw_c817ad90_4f4c_4b8e_b71a_ff4e14e4fdb0,Aarav Nathoo,Aarav Nathoo,One Day,Middle,2,38,1,45,18,5,5,6.2,45.0,7.105263157894737,38.0,47.36842105263158,13.157894736842104
raw_c817ad90_4f4c_4b8e_b71a_ff4e14e4fdb0,Aarav Nathoo,Aarav Nathoo,Two Day,New Ball,1,16,1,7,11,0,4,2.4,7.0,2.625,16.0,68.75,0.0
raw_c817ad90_4f4c_4b8e_b71a_ff4e14e4fdb0,Aarav Nathoo,Aarav Nathoo,Two Day,Older Ball,2,23,1,4,19,0,4,3.5,4.0,1.0434782608695652,23.0,82.6086956521739,0.0
raw_5649fb46_0c99_4ddc_9448_df7864883b03,Aarav Tomer,Aarav Tomer,One Day,Opening,1,63,3,35,39,3,10,10.3,11.666666666666666,3.3333333333333335,21.0,61.904761904761905,4.761904761904762
raw_5649fb46_0c99_4ddc_9448_df7864883b03,Aarav Tomer,Aarav Tomer,One Day,Middle,2,77,1,45,46,2,11,12.5,45.0,3.5064935064935066,77.0,59.74025974025974,2.5974025974025974
raw_5649fb46_0c99_4ddc_9448_df7864883b03,Aarav Tomer,Aarav Tomer,Two Day,New Ball,1,5,0,2,3,0,1,0.5,,2.4,,60.0,0.0
raw_5649fb46_0c99_4ddc_9448_df7864883b03,Aarav Tomer,Aarav Tomer,Two Day,Older Ball,2,11,0,7,8,1,1,1.5,,3.8181818181818183,,72.72727272727273,9.090909090909092
raw_d2f37298_3d20_4281_a3ac_57a4df1140cf,Aarish Hirani,Aarish Hirani,One Day,Opening,1,17,0,5,15,0,2,2.5,,1.7647058823529411,,88.23529411764706,0.0
raw_d2f37298_3d20_4281_a3ac_57a4df1140cf,Aarish Hirani,Aarish Hirani,One Day,Middle,2,12,0,7,8,1,2,2.0,,3.5,,66.66666666666667,8.333333333333334
raw_d2f37298_3d20_4281_a3ac_57a4df1140cf,Aarish Hirani,Aarish Hirani,Two Day,New Ball,1,106,4,44,79,4,11,17.4,11.0,2.490566037735849,26.5,74.52830188679245,3.7735849056603774
raw_d2f37298_3d20_4281_a3ac_57a4df1140cf,Aarish Hirani,Aarish Hirani,Two Day,Older Ball,2,104,4,42,83,5,11,17.2,10.5,2.423076923076923,26.0,79.8076923076923,4.8076923076923075
raw_fb41a9fe_b765_41ae_adca_15b755ac6a61,Aaron Barney,Aaron Barney,One Day,Opening,1,105,2,49,73,5,20,17.3,24.5,2.8,52.5,69.52380952380952,4.761904761904762
raw_fb41a9fe_b765_41ae_adca_15b755ac6a61,Aaron Barney,Aaron Barney,One Day,Middle,2,127,2,76,82,8,18,21.1,38.0,3.590551181102362,63.5,64.56692913385827,6.299212598425197
raw_da0b972d_0f2d_4ef5_b641_77195daf9ec6,Aaron Thoman,Aaron Thoman,Two Day,Older Ball,2,12,0,9,8,1,1,2.0,,4.5,,66.66666666666667,8.333333333333334
raw_4181ff46_5f4e_4ff1_949c_961bb17925ac,Aarush Damle,Aarush Damle,Two Day,New Ball,1,33,2,31,18,3,3,5.3,15.5,5.636363636363637,16.5,54.54545454545455,9.090909090909092
raw_4181ff46_5f4e_4ff1_949c_961bb17925ac,Aarush Damle,Aarush Damle,Two Day,Older Ball,2,12,0,9,6,0,1,2.0,,4.5,,50.0,0.0
raw_1cc530f0_0ad1_44ad_a818_fa8af492a8fb,Aaryan Bhatia,Aaryan Bhatia,One Day,Opening,1,90,2,45,60,3,15,15.0,22.5,3.0,45.0,66.66666666666667,3.3333333333333335
raw_1cc530f0_0ad1_44ad_a818_fa8af492a8fb,Aaryan Bhatia,Aaryan Bhatia,One Day,Middle,2,104,2,79,67,11,15,17.2,39.5,4.5576923076923075,52.0,64.42307692307692,10.576923076923077
raw_1cc530f0_0ad1_44ad_a818_fa8af492a8fb,Aaryan Bhatia,Aaryan Bhatia,Two Day,Older Ball,2,57,1,43,31,4,4,9.3,43.0,4.526315789473684,57.0,54.3859649122807,7.017543859649122
raw_ec71bb26_5ee0_4065_a54b_b550b2351cfc,Aashay Desai,Aashay Desai,One Day,Opening,1,18,2,9,13,1,1,3.0,4.5,3.0,9.0,72.22222222222223,5.555555555555555
raw_ec71bb26_5ee0_4065_a54b_b550b2351cfc,Aashay Desai,Aashay Desai,One Day,Middle,2,53,2,54,26,6,4,8.5,27.0,6.113207547169812,26.5,49.056603773584904,11.320754716981131
raw_ea746a1a_c2c5_4c26_84ce_209a7d4e203a,Aayansh Mahadevan,Aayansh Mahadevan,One Day,Opening,1,37,1,25,24,3,8,6.1,25.0,4.054054054054054,37.0,64.86486486486487,8.108108108108109
raw_ea746a1a_c2c5_4c26_84ce_209a7d4e203a,Aayansh Mahadevan,Aayansh Mahadevan,One Day,Middle,2,55,0,38,37,6,9,9.1,,4.1454545454545455,,67.27272727272727,10.909090909090908
raw_54f901ed_d82f_4e03_9771_43a57db8de53,Abhi Sannidhanam,Abhi Sannidhanam,Two Day,Older Ball,2,5,0,1,4,0,1,0.5,,1.2,,80.0,0.0
raw_910537a4_49a9_41f6_9281_b2827947bc5a,Adidev Arun,Adidev Arun,One Day,Opening,1,21,2,6,17,0,4,3.3,3.0,1.7142857142857142,10.5,80.95238095238095,0.0
