mode,canonical_player_id,canonical_player_name,season,match_id,first_match_day,runs_scored,balls_faced,wickets_taken,runs_conceded
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,cd23958b-42de-43ff-8ffa-d50e931ec650,2022-10-15T03:30:00.0000000+11:00,4,2,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,3d1cf4ca-dc7a-41f5-9977-d376e883add2,2022-10-15T03:30:00.0000000+11:00,15,17,,
batting,raw_0f772c08_0727_41df_bf28_6fcaf76a770e,********,Summer 2022/23,f9edcc2d-0d70-45d5-be37-19e16113e433,2022-10-29T03:30:00.0000000+11:00,2,0,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,6aca5edb-522c-4ae0-a77e-c745c93fb0b7,2022-10-29T03:30:00.0000000+11:00,2,6,,
batting,raw_51820ab2_8dc5_4c6f_8ac0_f48f25a7e5d2,********,Summer 2022/23,a80e22e1-ca19-4bfa-8163-d33ccb24b2c1,2022-10-29T19:30:00.0000000+11:00,8,17,,
batting,raw_566490e4_0591_40ed_a365_daa48e5c7999,********,Summer 2022/23,96979ca5-6f6f-4fee-8fbc-40435472d011,2022-11-06T00:00:00.0000000+11:00,0,0,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,c6e65bd3-fc19-4f9d-934f-bf9f36711e1f,2022-11-12T03:30:00.0000000+11:00,4,0,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,eab363a5-3bb7-41ec-8dcf-52af4b6689a9,2022-11-12T03:30:00.0000000+11:00,14,23,,
batting,raw_0f772c08_0727_41df_bf28_6fcaf76a770e,********,Summer 2022/23,54d883d0-5f96-446b-8476-d43c21bf7584,2022-11-12T03:30:00.0000000+11:00,0,1,,
batting,raw_0f772c08_0727_41df_bf28_6fcaf76a770e,********,Summer 2022/23,54d883d0-5f96-446b-8476-d43c21bf7584,2022-11-12T03:30:00.0000000+11:00,0,4,,
batting,raw_566490e4_0591_40ed_a365_daa48e5c7999,********,Summer 2022/23,5d612008-79a7-44a8-809d-9530a19f9a97,2022-11-12T03:30:00.0000000+11:00,18,27,,
batting,raw_51820ab2_8dc5_4c6f_8ac0_f48f25a7e5d2,********,Summer 2022/23,5b726090-63cc-489c-8c5c-d88f23ad0a27,2022-11-12T19:30:00.0000000+11:00,40,20,,
batting,raw_51820ab2_8dc5_4c6f_8ac0_f48f25a7e5d2,********,Summer 2022/23,5b726090-63cc-489c-8c5c-d88f23ad0a27,2022-11-12T19:30:00.0000000+11:00,15,0,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,13a97721-ae44-4685-8ad1-c88fd64c78cf,2022-11-13T00:00:00.0000000+11:00,2,0,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,f1330919-932c-4ed5-8c86-aa9ebb2a3728,2022-11-20T00:00:00.0000000+11:00,1,0,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,f9d1ec73-7747-4b55-85f6-2ca9fc3feddd,2022-11-24T03:30:00.0000000+11:00,3,2,,
batting,raw_0f772c08_0727_41df_bf28_6fcaf76a770e,********,Summer 2022/23,92a6129b-2fa8-4f67-aab0-4ca08eb402e5,2022-11-26T03:30:00.0000000+11:00,10,19,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,33737d2f-e846-44f6-b8f3-fba7ff3a8d38,2022-11-26T03:30:00.0000000+11:00,2,36,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,1d76a50d-f6fd-4b7e-9b77-7dbfc69f1e11,2022-11-26T03:30:00.0000000+11:00,0,0,,
batting,raw_566490e4_0591_40ed_a365_daa48e5c7999,********,Summer 2022/23,7a2b844b-1d4c-4f0c-b3d2-abef08c7faac,2022-11-26T03:30:00.0000000+11:00,1,5,,
batting,raw_e159e527_cdff_433e_9e2a_17b20bed090e,********,Summer 2022/23,d91056cf-b514-4e6c-b3d6-686351b2fdf7,2022-11-26T19:30:00.0000000+11:00,8,25,,
batting,raw_51820ab2_8dc5_4c6f_8ac0_f48f25a7e5d2,********,Summer 2022/23,1daced96-547e-4f49-8029-4da0153cc9ac,2022-11-26T19:30:00.0000000+11:00,19,20,,
batting,raw_51820ab2_8dc5_4c6f_8ac0_f48f25a7e5d2,********,Summer 2022/23,1daced96-547e-4f49-8029-4da0153cc9ac,2022-11-26T19:30:00.0000000+11:00,10,20,,
batting,raw_566490e4_0591_40ed_a365_daa48e5c7999,********,Summer 2022/23,effa9b0e-ead1-4c1c-bd7e-95625180db8a,2022-11-27T00:00:00.0000000+11:00,9,8,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,695ed12f-ebcf-480d-929e-e91bf2b71aa4,2022-11-27T00:00:00.0000000+11:00,7,0,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,7a9c2a01-49e6-4e22-97ce-a342ed0cb1c6,2022-11-30T16:30:00.0000000+00:00,7,0,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,eba9eef3-725f-48bd-8c40-e9317bb726fa,2022-12-08T03:30:00.0000000+11:00,11,11,,
batting,raw_7a879f7b_e7d9_4794_829d_2fe69b1bf528,********,Summer 2022/23,b6f9c0d0-4c35-4d28-8b15-6e0bc8218e63,2022-12-10T03:30:00.0000000+11:00,11,7,,
batting,raw_566490e4_0591_40ed_a365_daa48e5c7999,********,Summer 2022/23,f006acdb-b49e-4f71-bf6e-2c8425f119ce,2022-12-10T03:30:00.0000000+11:00,7,12,,
batting,raw_840885b7_547c_4892_88e1_d9a4950a1d2f,********,Summer 2022/23,d44015ff-947d-43c3-b112-8222cfd782fa,2022-12-10T03:30:00.0000000+11:00,2,0,,
batting,raw_0f772c08_0727_41df_bf28_6fcaf76a770e,********,Summer 2022/23,28b034b1-bed2-4a68-ab54-948f563f6183,2022-12-10T03:30:00.0000000+11:00,10,20,,
