canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Opening,1,42,2,18,29,1,2,7.0,9.0,2.5714285714285716,21.0,69.04761904761905,2.380952380952381
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Opening,1,36,1,34,23,6,2,6.0,34.0,5.666666666666667,36.0,63.888888888888886,16.666666666666668
raw_0d96ab5c_f700_4a89_8ee2_cd5359116133,********,********,One Day,Opening,1,18,0,10,12,1,3,3.0,,3.3333333333333335,,66.66666666666667,5.555555555555555
raw_a43eb5b6_d0df_40e2_9630_a952347327a3,********,********,One Day,Opening,1,132,6,59,100,5,12,22.0,9.833333333333334,2.6818181818181817,22.0,75.75757575757575,3.787878787878788
raw_cab02a18_8f06_4da9_9eec_ac1dbd124d74,********,********,One Day,Opening,1,24,0,32,11,5,3,4.0,,8.0,,45.833333333333336,20.833333333333332
raw_00000000_0000_0000_0000_000000000001,********,********,One Day,Middle,2,141,8,140,77,19,8,23.3,17.5,5.957446808510638,17.625,54.60992907801418,13.47517730496454
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Middle,2,54,1,35,39,4,3,9.0,35.0,3.888888888888889,54.0,72.22222222222223,7.407407407407407
raw_0d96ab5c_f700_4a89_8ee2_cd5359116133,********,********,One Day,Middle,2,13,1,14,4,1,3,2.1,14.0,6.461538461538462,13.0,30.76923076923077,7.6923076923076925
raw_a43eb5b6_d0df_40e2_9630_a952347327a3,********,********,One Day,Middle,2,84,6,48,56,6,8,14.0,8.0,3.4285714285714284,14.0,66.66666666666667,7.142857142857143
raw_cab02a18_8f06_4da9_9eec_ac1dbd124d74,********,********,One Day,Middle,2,108,4,69,61,3,9,18.0,17.25,3.8333333333333335,27.0,56.48148148148148,2.7777777777777777
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Death,3,18,0,36,5,6,2,3.0,,12.0,,27.77777777777778,33.333333333333336
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,New Ball,1,78,1,19,64,0,2,13.0,19.0,1.4615384615384615,78.0,82.05128205128206,0.0
raw_0d96ab5c_f700_4a89_8ee2_cd5359116133,********,********,Two Day,New Ball,1,18,1,4,15,0,2,3.0,4.0,1.3333333333333333,18.0,83.33333333333333,0.0
raw_a43eb5b6_d0df_40e2_9630_a952347327a3,********,********,Two Day,New Ball,1,36,2,15,29,2,2,6.0,7.5,2.5,18.0,80.55555555555556,5.555555555555555
raw_cab02a18_8f06_4da9_9eec_ac1dbd124d74,********,********,Two Day,New Ball,1,18,0,14,10,2,1,3.0,,4.666666666666667,,55.55555555555556,11.11111111111111
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,Older Ball,2,108,4,59,76,5,4,18.0,14.75,3.2777777777777777,27.0,70.37037037037037,4.62962962962963
raw_0d96ab5c_f700_4a89_8ee2_cd5359116133,********,********,Two Day,Older Ball,2,36,0,29,16,2,3,6.0,,4.833333333333333,,44.44444444444444,5.555555555555555
raw_a43eb5b6_d0df_40e2_9630_a952347327a3,********,********,Two Day,Older Ball,2,30,3,17,17,1,1,5.0,5.666666666666667,3.4,10.0,56.666666666666664,3.3333333333333335
raw_cab02a18_8f06_4da9_9eec_ac1dbd124d74,********,********,Two Day,Older Ball,2,48,0,31,32,2,2,8.0,,3.875,,66.66666666666667,4.166666666666667
raw_f6366b19_7e2d_4dc3_a613_def9e3bef73d,********,********,Two Day,Older Ball,2,24,2,13,14,1,2,4.0,6.5,3.25,12.0,58.333333333333336,4.166666666666667
raw_121b6922_c040_48b5_ad58_f894f3f2e960,******** French,******** French,One Day,Opening,1,12,0,5,10,0,1,2.0,,2.5,,83.33333333333333,0.0
raw_121b6922_c040_48b5_ad58_f894f3f2e960,******** French,******** French,One Day,Middle,2,24,1,15,15,1,1,4.0,15.0,3.75,24.0,62.5,4.166666666666667
raw_79cf63e2_a637_492a_a800_84a9cc8d5e76,Aaryan Chopra,Aaryan Chopra,One Day,Opening,1,12,0,5,8,0,1,2.0,,2.5,,66.66666666666667,0.0
raw_79cf63e2_a637_492a_a800_84a9cc8d5e76,Aaryan Chopra,Aaryan Chopra,One Day,Middle,2,6,0,2,4,0,1,1.0,,2.0,,66.66666666666667,0.0
raw_3a84a134_2662_478f_a0dd_ec0d1473d25e,Aayaan Aswal,Aayaan Aswal,One Day,Opening,1,18,2,5,13,0,3,3.0,2.5,1.6666666666666667,9.0,72.22222222222223,0.0
raw_4300014f_ede8_43e2_a834_afa4d12844fa,Aayaan Aswal,Aayaan Aswal,One Day,Opening,1,120,4,84,64,7,12,20.0,21.0,4.2,30.0,53.333333333333336,5.833333333333333
raw_3a84a134_2662_478f_a0dd_ec0d1473d25e,Aayaan Aswal,Aayaan Aswal,One Day,Middle,2,24,2,13,18,2,3,4.0,6.5,3.25,12.0,75.0,8.333333333333334
raw_4300014f_ede8_43e2_a834_afa4d12844fa,Aayaan Aswal,Aayaan Aswal,One Day,Middle,2,62,0,32,42,1,9,10.2,,3.096774193548387,,67.74193548387096,1.6129032258064515
raw_4300014f_ede8_43e2_a834_afa4d12844fa,Aayaan Aswal,Aayaan Aswal,Two Day,New Ball,1,12,0,7,7,0,1,2.0,,3.5,,58.333333333333336,0.0
raw_0ac1c4a2_29f8_4b13_828b_ba625bc3e22a,Abhayveer Uppal,Abhayveer Uppal,One Day,Opening,1,6,0,6,4,1,1,1.0,,6.0,,66.66666666666667,16.666666666666668
raw_0de5a010_f9fc_4e26_b9cc_840ba5d6b421,Abhayveer Uppal,Abhayveer Uppal,One Day,Opening,1,47,3,54,19,4,5,7.5,18.0,6.8936170212765955,15.666666666666666,40.42553191489362,8.51063829787234
raw_0ac1c4a2_29f8_4b13_828b_ba625bc3e22a,Abhayveer Uppal,Abhayveer Uppal,One Day,Middle,2,12,2,8,8,1,1,2.0,4.0,4.0,6.0,66.66666666666667,8.333333333333334
raw_0de5a010_f9fc_4e26_b9cc_840ba5d6b421,Abhayveer Uppal,Abhayveer Uppal,One Day,Middle,2,66,2,48,36,3,7,11.0,24.0,4.363636363636363,33.0,54.54545454545455,4.545454545454546
raw_0ac1c4a2_29f8_4b13_828b_ba625bc3e22a,Abhayveer Uppal,Abhayveer Uppal,T20,Opening,1,10,0,21,1,2,2,1.4,,12.6,,10.0,20.0
raw_0ac1c4a2_29f8_4b13_828b_ba625bc3e22a,Abhayveer Uppal,Abhayveer Uppal,T20,Middle,2,5,0,4,3,0,1,0.5,,4.8,,60.0,0.0
raw_0de5a010_f9fc_4e26_b9cc_840ba5d6b421,Abhayveer Uppal,Abhayveer Uppal,Two Day,Older Ball,2,48,3,22,32,1,2,8.0,7.333333333333333,2.75,16.0,66.66666666666667,2.0833333333333335
raw_f43762e5_05c0_4a7b_9af2_9aae74b2739a,Achyut Patel,Achyut Patel,One Day,Opening,1,42,5,41,27,8,4,7.0,8.2,5.857142857142857,8.4,64.28571428571429,19.047619047619047
raw_f43762e5_05c0_4a7b_9af2_9aae74b2739a,Achyut Patel,Achyut Patel,One Day,Middle,2,186,3,187,104,31,10,31.0,62.333333333333336,6.032258064516129,62.0,55.913978494623656,16.666666666666668
raw_f43762e5_05c0_4a7b_9af2_9aae74b2739a,Achyut Patel,Achyut Patel,One Day,Death,3,14,1,8,10,1,2,2.2,8.0,3.4285714285714284,14.0,71.42857142857143,7.142857142857143
raw_f43762e5_05c0_4a7b_9af2_9aae74b2739a,Achyut Patel,Achyut Patel,Two Day,New Ball,1,108,4,44,83,4,7,18.0,11.0,2.4444444444444446,27.0,76.85185185185185,3.7037037037037037
raw_f43762e5_05c0_4a7b_9af2_9aae74b2739a,Achyut Patel,Achyut Patel,Two Day,Older Ball,2,126,4,56,91,5,8,21.0,14.0,2.6666666666666665,31.5,72.22222222222223,3.9682539682539684
raw_4fe18733_0741_4908_82cb_f515714c4bae,Adam Huybers,Adam Huybers,One Day,Opening,1,18,0,7,12,0,1,3.0,,2.3333333333333335,,66.66666666666667,0.0
raw_4fe18733_0741_4908_82cb_f515714c4bae,Adam Huybers,Adam Huybers,One Day,Middle,2,54,2,36,32,3,3,9.0,18.0,4.0,27.0,59.25925925925926,5.555555555555555
