player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_08c90f25_310c_483b_833e_b87f67e11a5f,raw_08c90f25_310c_483b_833e_b87f67e11a5f,********,********,0,0,0,1/12,1,12
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,0,0,0,2/10,2,10
raw_6e1f0587_7566_4c72_b278_9f211ba9a2f8,raw_6e1f0587_7566_4c72_b278_9f211ba9a2f8,********,********,0,0,0,0/21,0,21
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,3,0,0,3/5,3,5
raw_12488df5_d5a2_47c2_b094_4e474b7bf374,raw_12488df5_d5a2_47c2_b094_4e474b7bf374,********,********,0,0,0,1/4,1,4
raw_c68ebaca_ae00_4446_ae76_635c6bd7e63f,raw_c68ebaca_ae00_4446_ae76_635c6bd7e63f,********,********,0,0,0,1/46,1,46
raw_17d8a493_d4b2_438a_b7c4_69a93a4b5d08,raw_17d8a493_d4b2_438a_b7c4_69a93a4b5d08,********,********,0,0,0,1/14,1,14
raw_00000000_0000_0000_0000_000000000006,raw_00000000_0000_0000_0000_000000000006,********,********,0,0,0,0/14,0,14
raw_00000000_0000_0000_0000_000000000004,raw_00000000_0000_0000_0000_000000000004,********,********,0,0,0,2/11,2,11
raw_00000000_0000_0000_0000_000000000003,raw_00000000_0000_0000_0000_000000000003,********,********,0,0,0,1/12,1,12
raw_00000000_0000_0000_0000_000000000005,raw_00000000_0000_0000_0000_000000000005,********,********,0,0,0,0/16,0,16
raw_b99ff1e9_4739_4ce2_8356_773775260a05,raw_b99ff1e9_4739_4ce2_8356_773775260a05,********,********,1,0,0,4/3,4,3
raw_00000000_0000_0000_0000_000000000002,raw_00000000_0000_0000_0000_000000000002,********,********,0,0,0,2/5,2,5
raw_00000000_0000_0000_0000_000000000001,raw_00000000_0000_0000_0000_000000000001,********,********,1,0,0,3/27,3,27
raw_8137b751_0152_414d_a2cc_64936f1681cb,raw_8137b751_0152_414d_a2cc_64936f1681cb,********,********,0,0,0,0/10,0,10
raw_367c1193_9d30_481e_835c_ceffb481ce4f,raw_367c1193_9d30_481e_835c_ceffb481ce4f,Aadi Vaghela,Aadi Vaghela,0,0,0,1/5,1,5
raw_4c0ea8fb_7bb9_4a5a_a92e_f41acea5083a,raw_4c0ea8fb_7bb9_4a5a_a92e_f41acea5083a,Aarav Gupta,Aarav Gupta,0,0,0,2/17,2,17
raw_f463e2d9_d8de_40e2_98c0_f95df03f75ef,raw_f463e2d9_d8de_40e2_98c0_f95df03f75ef,Aaron Maddigan,Aaron Maddigan,8,0,0,4/38,4,38
raw_d915dc32_ad67_4651_a87c_730e450e62f3,raw_d915dc32_ad67_4651_a87c_730e450e62f3,Aaron Nowell,Aaron Nowell,0,0,0,1/0,1,0
raw_75666e54_c9f4_48df_9b3b_36ee4d030b85,raw_75666e54_c9f4_48df_9b3b_36ee4d030b85,Aaron Robertson,Aaron Robertson,6,0,0,4/27,4,27
raw_84cb861e_8bff_4e7c_b3c3_bf7f72f090f9,raw_84cb861e_8bff_4e7c_b3c3_bf7f72f090f9,Aaron Tsokanos,Aaron Tsokanos,0,0,0,0/5,0,5
raw_77e78913_a31b_43d0_9f95_9bc6d5c828bf,raw_77e78913_a31b_43d0_9f95_9bc6d5c828bf,Aaveer Bansal,Aaveer Bansal,1,0,0,3/1,3,1
raw_3b76ca66_de92_4ef8_85d0_b41f3886f11e,raw_3b76ca66_de92_4ef8_85d0_b41f3886f11e,Abby Higgins,Abby Higgins,0,0,0,2/6,2,6
raw_6543281a_7733_4e64_88ce_c3450f6cd191,raw_6543281a_7733_4e64_88ce_c3450f6cd191,Abdul Fiaz,Abdul Fiaz,4,1,0,6/26,6,26
raw_282eaf8d_8db8_4db2_8083_9ab4c92018ca,raw_282eaf8d_8db8_4db2_8083_9ab4c92018ca,Adam D'Arcy,Adam D'Arcy,0,0,0,0/9,0,9
raw_e3c4ef92_9283_49d3_a007_730905ad5796,raw_e3c4ef92_9283_49d3_a007_730905ad5796,Adam Ellis,Adam Ellis,22,1,0,5/67,5,67
raw_612c993a_0368_4549_9cd8_73316bdbc69a,raw_612c993a_0368_4549_9cd8_73316bdbc69a,Adam Ellis,Adam Ellis,4,1,0,5/49,5,49
raw_cfadc9a4_a740_410e_a9fb_01b395ddaebb,raw_cfadc9a4_a740_410e_a9fb_01b395ddaebb,Adam Martin,Adam Martin,0,0,0,1/4,1,4
raw_e0baf6fd_506e_4cf9_acd8_2b65216b3cc3,raw_e0baf6fd_506e_4cf9_acd8_2b65216b3cc3,Adam Niesche,Adam Niesche,0,0,0,1/3,1,3
raw_14d93d89_fd50_42ca_8abb_2e3365219271,raw_14d93d89_fd50_42ca_8abb_2e3365219271,Adam Oswald,Adam Oswald,1,1,0,7/38,7,38
raw_b69e9018_1dd2_4c5b_b894_6c957661f9a9,raw_b69e9018_1dd2_4c5b_b894_6c957661f9a9,Adam Thompson,Adam Thompson,0,0,0,2/26,2,26
raw_9e9e696f_a56a_46fe_bc73_93235a4079db,raw_9e9e696f_a56a_46fe_bc73_93235a4079db,Ahsan Hanif,Ahsan Hanif,5,0,0,4/53,4,53
raw_5cc7ef81_1737_4abe_a6f3_f5c4bdbbd45c,raw_5cc7ef81_1737_4abe_a6f3_f5c4bdbbd45c,Aidan Barry,Aidan Barry,0,0,0,2/17,2,17
raw_1a3826c6_89e3_4b6d_a47f_f5a1335178d0,raw_1a3826c6_89e3_4b6d_a47f_f5a1335178d0,Aidan Old,Aidan Old,4,0,0,4/22,4,22
aidan_richardson,aidan_richardson,Aidan Richardson,Aidan Richardson,2,0,0,3/4,3,4
aidan_secomb,aidan_secomb,Aidan Secomb,Aidan Secomb,0,0,0,2/2,2,2
raw_234cd33d_690a_4d9e_a547_ae629451a845,raw_234cd33d_690a_4d9e_a547_ae629451a845,Aiden Kirkham,Aiden Kirkham,0,0,0,1/2,1,2
raw_558a9ac4_8aab_46cb_81fc_8a717e603c1b,raw_558a9ac4_8aab_46cb_81fc_8a717e603c1b,Aiden Shaw,Aiden Shaw,6,4,1,7/17,7,17
raw_bdae8688_776c_4413_bfca_9baa5aabf38a,raw_bdae8688_776c_4413_bfca_9baa5aabf38a,Aiden Shaw,Aiden Shaw,7,0,0,4/26,4,26
alannah_rochow,alannah_rochow,Alannah Rochow,Alannah Rochow,0,0,0,0/4,0,4
raw_b33a7a2b_49f7_45e5_8d14_784a3a45689c,raw_b33a7a2b_49f7_45e5_8d14_784a3a45689c,Aleisha Lawrie,Aleisha Lawrie,0,0,0,1/12,1,12
raw_4d9f5650_f4eb_43a8_a262_c9829187aa0d,raw_4d9f5650_f4eb_43a8_a262_c9829187aa0d,Alex Hodge,Alex Hodge,0,0,0,0/10,0,10
raw_b4d5bcf1_05c3_4e7e_bc94_afdafec4f8ab,raw_b4d5bcf1_05c3_4e7e_bc94_afdafec4f8ab,Alex Lawley,Alex Lawley,0,0,0,2/12,2,12
raw_c3354ae1_a8d5_4de0_89b9_62c295cdc448,raw_c3354ae1_a8d5_4de0_89b9_62c295cdc448,Alex Martin,Alex Martin,0,0,0,1/6,1,6
raw_a5be2c98_d4cb_4c7c_811e_10a13341265e,raw_a5be2c98_d4cb_4c7c_811e_10a13341265e,Alex Mcinnes,Alex Mcinnes,4,0,0,4/27,4,27
raw_8a1709fd_4104_4d50_b565_55b60671a484,raw_8a1709fd_4104_4d50_b565_55b60671a484,Alex Miller,Alex Miller,1,0,0,4/4,4,4
raw_1423a51d_7af9_44ce_bc77_85b3072d4f98,raw_1423a51d_7af9_44ce_bc77_85b3072d4f98,Alex Thompson,Alex Thompson,0,0,0,2/5,2,5
raw_c9afdee4_0484_41c2_9133_e4138d307d5a,raw_c9afdee4_0484_41c2_9133_e4138d307d5a,Alexander Artis,Alexander Artis,0,0,0,1/7,1,7
raw_08367b31_4ddd_488e_898c_f43a846de496,raw_08367b31_4ddd_488e_898c_f43a846de496,Alexander Cornelius,Alexander Cornelius,0,0,0,0/1,0,1
raw_3c86a4d6_469b_43ce_a4c2_57b83b86d080,raw_3c86a4d6_469b_43ce_a4c2_57b83b86d080,Alexander Marenkovic,Alexander Marenkovic,1,0,0,3/1,3,1
raw_63bc5ca5_14f9_4702_92e9_356ac6d1fc17,raw_63bc5ca5_14f9_4702_92e9_356ac6d1fc17,Alfie Munn,Alfie Munn,0,0,0,2/2,2,2
raw_70211b1f_5e96_438c_96cb_67d41d417e39,raw_70211b1f_5e96_438c_96cb_67d41d417e39,Amelia Julian,Amelia Julian,0,0,0,2/13,2,13
andre_dobie,andre_dobie,Andre Dobie,Andre Dobie,4,0,0,3/7,3,7
raw_76e281d5_4ba5_469d_afa1_84c967620d19,raw_76e281d5_4ba5_469d_afa1_84c967620d19,Andre Kokoshko,Andre Kokoshko,1,0,0,3/27,3,27
raw_f3e483fc_dcd2_4d41_a790_cb234f0245a4,raw_f3e483fc_dcd2_4d41_a790_cb234f0245a4,Andrew Mc Guire,Andrew Mc Guire,1,0,0,3/20,3,20
raw_86c45752_28db_470e_b03d_33f82d8234fd,raw_86c45752_28db_470e_b03d_33f82d8234fd,Andrew Mcgee,Andrew Mcgee,0,0,0,1/12,1,12
raw_f4ab7447_2fd2_4736_a2a1_2c7b18f54f41,raw_f4ab7447_2fd2_4736_a2a1_2c7b18f54f41,Andrew Semple,Andrew Semple,1,0,0,3/33,3,33
raw_3158f368_9763_4acb_b74b_d4d60e785223,raw_3158f368_9763_4acb_b74b_d4d60e785223,Andrew Shaw,Andrew Shaw,5,0,0,4/18,4,18
raw_b858cc9f_93b1_40ec_ac02_aee312724906,raw_b858cc9f_93b1_40ec_ac02_aee312724906,Andrew Weiss,Andrew Weiss,0,0,0,0/29,0,29
raw_24a83678_4ef1_4c12_90ea_8bd5efc6e9bd,raw_24a83678_4ef1_4c12_90ea_8bd5efc6e9bd,Andrew Wright,Andrew Wright,9,3,0,7/13,7,13
angela_egan,angela_egan,Angela Egan,Angela Egan,0,0,0,1/9,1,9
raw_29156470_7bf5_4490_8f30_086eba362cc0,raw_29156470_7bf5_4490_8f30_086eba362cc0,Angelina Summerton,Angelina Summerton,0,0,0,2/15,2,15
raw_76c67f99_60f7_4f1e_b492_4cc92052bea6,raw_76c67f99_60f7_4f1e_b492_4cc92052bea6,Anoj Puthenparambil Thomas,Anoj Puthenparambil Thomas,4,1,0,5/24,5,24
raw_8bf47997_be77_43d9_878e_eb969bc79510,raw_8bf47997_be77_43d9_878e_eb969bc79510,Ansh Patel,Ansh Patel,0,0,0,2/4,2,4
raw_26cb2c08_9ab9_4344_bfea_fb8647f67de5,raw_26cb2c08_9ab9_4344_bfea_fb8647f67de5,Ansh Patel,Ansh Patel,1,1,0,5/3,5,3
raw_bf9ce2f4_510c_4cd7_a848_ec3c280363a8,raw_bf9ce2f4_510c_4cd7_a848_ec3c280363a8,Anthony Copley,Anthony Copley,2,0,0,3/10,3,10
archer_fraser,archer_fraser,Archer Fraser,Archer Fraser,1,0,0,3/20,3,20
ashleigh_carey,ashleigh_carey,Ashleigh Carey,Ashleigh Carey,0,0,0,1/15,1,15
raw_321acc81_feb9_4f64_97a9_745a53571389,raw_321acc81_feb9_4f64_97a9_745a53571389,Ashton Steele,Ashton Steele,0,0,0,2/6,2,6
