canonical_player_id,canonical_player_name,display_player_name,premiership_count,seasons,grades,teams,latest_premiership_season,evidence_match_ids,confidence
raw_9d677ffb_16c5_4b5c_8480_d1176510f0db,Peter Jameson,Peter Jameson,4,"Summer 2007/08, Summer 2008/09, Summer 2014/15, Summer 2016/17","A3 Grade, B2 Grade, ISC Teamwear LO Division 4, B1 Grade",Reynella,Summer 2016/17,"1a77c5bc-3848-4180-a0b9-ea12185d708b, 482e6154-6523-494a-807c-6ac8f80072e5, 8de807a5-e259-4b54-b9a7-e7cab16b025e, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_98bc2f3b_30cf_4b6d_b441_87e94b2361f0,Daniel Rabbett,Daniel Rabbett,3,"Summer 2012/13, Summer 2014/15, Summer 2016/17","A3 Grade, Sportscentre A2 Grade, B1 Grade",Reynella,Summer 2016/17,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_ed1c49de_6316_47fb_a63a_81073b111740,Jordan Wright,Jordan Wright,3,"Summer 2008/09, Summer 2014/15, Summer 2016/17","A3 Grade, Sportscentre A2 Grade, B1 Grade",Reynella,Summer 2016/17,"1a77c5bc-3848-4180-a0b9-ea12185d708b, cbd5794b-7217-42ce-835a-e0fc7c319dc0, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_761f2f46_806e_4d87_87ee_d2c30ef3f65c,Matthew Aston,Matthew Aston,3,"Summer 2012/13, Summer 2014/15, Summer 2016/17","A3 Grade, Sportscentre A2 Grade, B1 Grade",Reynella,Summer 2016/17,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_f4ab7447_2fd2_4736_a2a1_2c7b18f54f41,Andrew Semple,Andrew Semple,3,"Summer 2007/08, Summer 2011/12, Summer 2014/15","ISC Teamwear LO Division 4, B2 Grade",Reynella,Summer 2014/15,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 482e6154-6523-494a-807c-6ac8f80072e5, 8de807a5-e259-4b54-b9a7-e7cab16b025e",high
raw_82c6d3f9_dd61_4a13_82cc_fcf7c0e0a8f7,John Hopkins,John Hopkins,3,"Summer 2008/09, Summer 2012/13, Summer 2014/15","A3 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"1a77c5bc-3848-4180-a0b9-ea12185d708b, 1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
raw_fc5f7e63_b1e4_4ff4_a7cf_12691de14abb,Luke Byrne,Luke Byrne,3,"Summer 2011/12, Summer 2012/13, Summer 2014/15","ISC Teamwear LO Division 4, B2 Grade",Reynella,Summer 2014/15,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 3db4f68e-863f-4587-8b89-b1d3d3df32df, 8de807a5-e259-4b54-b9a7-e7cab16b025e",high
raw_205e8fd2_2a71_4bb7_af36_80deca0a9b8a,Matt Hehner,Matt Hehner,3,"Summer 2007/08, Summer 2008/09, Summer 2014/15","A3 Grade, B2 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"1a77c5bc-3848-4180-a0b9-ea12185d708b, 482e6154-6523-494a-807c-6ac8f80072e5, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
raw_0ee061a9_b7b8_4379_ab58_185e759869d2,Richard Gabb,Richard Gabb,3,"Summer 2011/12, Summer 2012/13, Summer 2014/15","ISC Teamwear LO Division 4, A3 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"05ae1fcd-01b0-4175-893f-37b9011cc4e0, 1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
raw_f5cdcaed_ff90_498a_aa43_4b738b4a634d,Brett Julian,Brett Julian,2,"Summer 2007/08, Summer 2016/17","B2 Grade, B1 Grade",Reynella,Summer 2016/17,"482e6154-6523-494a-807c-6ac8f80072e5, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_ea025590_55a4_42cc_90d8_08a406c61cc4,Kaine Hopkins,Kaine Hopkins,2,"Summer 2012/13, Summer 2016/17","B2 Grade, B1 Grade",Reynella,Summer 2016/17,"3db4f68e-863f-4587-8b89-b1d3d3df32df, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_f4404c43_09f8_408c_a0c1_edd82a589504,Nathan Turner,Nathan Turner,2,"Summer 2007/08, Summer 2016/17","B2 Grade, B1 Grade",Reynella,Summer 2016/17,"482e6154-6523-494a-807c-6ac8f80072e5, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_2de79133_f18d_4f54_a440_3f1fe0cc72f9,Paul Radbourne,Paul Radbourne,2,"Summer 2008/09, Summer 2016/17","A3 Grade, B1 Grade",Reynella,Summer 2016/17,"1a77c5bc-3848-4180-a0b9-ea12185d708b, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_6406c8f9_7d05_42ad_b348_b3f74a87b29e,Scott Trenorden,Scott Trenorden,2,"Summer 2007/08, Summer 2016/17","B2 Grade, B1 Grade",Reynella,Summer 2016/17,"482e6154-6523-494a-807c-6ac8f80072e5, ceed987b-30fc-475e-9132-7a6144eb44c5",high
raw_1a69b5d8_da3a_4162_b50b_61a08660d572,Cameron Pannach,Cameron Pannach,2,"Summer 2012/13, Summer 2014/15","A3 Grade, Sportscentre A2 Grade",Reynella,Summer 2014/15,"1be0315c-27d5-4d70-9f3b-86d2f5dfd9b3, cbd5794b-7217-42ce-835a-e0fc7c319dc0",high
