canonical_player_id,canonical_player_name,display_player_name,dismissal_bucket,count,scope,total_dismissals,pct,dismissal_order
__club__,Club average,Club average,Caught,8042,club,18004,44.66785158853588,1
__club__,Club average,Club average,Bowled,5848,club,18004,32.48167073983559,2
__club__,Club average,Club average,LBW,1817,club,18004,10.092201732948233,3
__club__,Club average,Club average,Run out,1391,club,18004,7.726060875361031,4
__club__,Club average,Club average,Stumped,408,club,18004,2.2661630748722508,5
__club__,Club average,Club average,Other,498,club,18004,2.766051988447012,6
raw_00000000_0000_0000_0000_000000000001,********,********,Caught,7,player,20,35.0,1
raw_00000000_0000_0000_0000_000000000002,********,********,Caught,5,player,10,50.0,1
raw_00000000_0000_0000_0000_000000000003,********,********,Caught,4,player,6,66.66666666666667,1
raw_12488df5_d5a2_47c2_b094_4e474b7bf374,********,********,Caught,2,player,8,25.0,1
raw_17d8a493_d4b2_438a_b7c4_69a93a4b5d08,********,********,Caught,4,player,20,20.0,1
raw_b99ff1e9_4739_4ce2_8356_773775260a05,********,********,Caught,2,player,6,33.333333333333336,1
raw_d5be76ed_7769_4b63_98c7_eeff52b91455,********,********,Caught,1,player,9,11.11111111111111,1
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,Caught,4,player,23,17.391304347826086,1
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,Caught,31,player,64,48.4375,1
raw_00000000_0000_0000_0000_000000000001,********,********,Bowled,4,player,20,20.0,2
raw_00000000_0000_0000_0000_000000000002,********,********,Bowled,4,player,10,40.0,2
raw_00000000_0000_0000_0000_000000000003,********,********,Bowled,1,player,6,16.666666666666668,2
raw_12488df5_d5a2_47c2_b094_4e474b7bf374,********,********,Bowled,6,player,8,75.0,2
raw_17d8a493_d4b2_438a_b7c4_69a93a4b5d08,********,********,Bowled,12,player,20,60.0,2
raw_b99ff1e9_4739_4ce2_8356_773775260a05,********,********,Bowled,4,player,6,66.66666666666667,2
raw_c68ebaca_ae00_4446_ae76_635c6bd7e63f,********,********,Bowled,2,player,2,100.0,2
raw_d5be76ed_7769_4b63_98c7_eeff52b91455,********,********,Bowled,2,player,9,22.22222222222222,2
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,Bowled,8,player,23,34.78260869565217,2
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,Bowled,15,player,64,23.4375,2
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,LBW,2,player,23,8.695652173913043,3
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,LBW,10,player,64,15.625,3
raw_00000000_0000_0000_0000_000000000002,********,********,Run out,1,player,10,10.0,4
raw_00000000_0000_0000_0000_000000000003,********,********,Run out,1,player,6,16.666666666666668,4
raw_17d8a493_d4b2_438a_b7c4_69a93a4b5d08,********,********,Run out,4,player,20,20.0,4
raw_8137b751_0152_414d_a2cc_64936f1681cb,********,********,Run out,1,player,1,100.0,4
raw_d5be76ed_7769_4b63_98c7_eeff52b91455,********,********,Run out,1,player,9,11.11111111111111,4
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,Run out,8,player,23,34.78260869565217,4
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,Run out,5,player,64,7.8125,4
raw_00000000_0000_0000_0000_000000000001,********,********,Stumped,1,player,20,5.0,5
raw_df992036_f8f1_4b26_8aaf_853e3c90de35,********,********,Stumped,1,player,23,4.3478260869565215,5
raw_ff37d773_7965_4faf_bb34_dc50eab3200c,********,********,Stumped,2,player,64,3.125,5
