season_id,season,team_id,grade_id,grade_name,player_key,canonical_player_id,canonical_player_name,display_player_name,innings,thirties,latest_match_date,match_count
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_0ee061a9_b7b8_4379_ab58_185e759869d2,raw_0ee061a9_b7b8_4379_ab58_185e759869d2,Richard Gabb,Richard Gabb,2,0,2008-12-06T12:30:00.0000000+00:00,2
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_1619d285_2942_49cc_af12_b642b5df54fe,raw_1619d285_2942_49cc_af12_b642b5df54fe,Jude Lobow,Jude Lobow,3,0,2009-02-07T13:00:00.0000000+00:00,3
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_1b217350_03a1_44ca_8c9a_b434370ccd0f,raw_1b217350_03a1_44ca_8c9a_b434370ccd0f,Steve Harris,Steve Harris,1,0,2008-10-18T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_1c200b14_0507_4453_a275_c44332e8c3ee,raw_1c200b14_0507_4453_a275_c44332e8c3ee,Richard Hood,Richard Hood,1,0,2008-10-18T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_1ce28174_ad50_48e5_a2aa_760068790d3f,raw_1ce28174_ad50_48e5_a2aa_760068790d3f,Daniel Grindley,Daniel Grindley,4,0,2009-02-07T13:00:00.0000000+00:00,4
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_223fa03d_3d9f_427f_bcb8_cbabfaa65791,raw_223fa03d_3d9f_427f_bcb8_cbabfaa65791,Ben Staggs,Ben Staggs,7,2,2009-02-07T13:00:00.0000000+00:00,7
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_22969754_e692_448e_b523_9882e90f5d5c,raw_22969754_e692_448e_b523_9882e90f5d5c,Daniel Salt,Daniel Salt,7,0,2009-02-07T13:00:00.0000000+00:00,7
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_2312a7de_30b8_4017_aa94_d84a6fc419c8,raw_2312a7de_30b8_4017_aa94_d84a6fc419c8,Brett Roberts,Brett Roberts,1,0,2008-12-06T12:30:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_3aa7c06d_b26a_49f5_ad25_9287af1cf451,raw_3aa7c06d_b26a_49f5_ad25_9287af1cf451,Ben Wilden,Ben Wilden,1,0,2008-11-01T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_3e84f700_4996_45f9_8d4f_afab3dd35bda,raw_3e84f700_4996_45f9_8d4f_afab3dd35bda,Mathew Pimlott,Mathew Pimlott,1,0,2008-10-18T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_44f3a898_c076_48d0_beb7_5b6ace4b53c9,raw_44f3a898_c076_48d0_beb7_5b6ace4b53c9,Damian Griffin,Damian Griffin,3,0,2009-02-07T13:00:00.0000000+00:00,3
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_5843f5d9_3e86_4e7a_bb2c_a407244c25f5,raw_5843f5d9_3e86_4e7a_bb2c_a407244c25f5,Fabian Rocca,Fabian Rocca,1,0,2008-11-01T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_71751def_b56d_47c8_ae93_73400a5da89e,raw_71751def_b56d_47c8_ae93_73400a5da89e,Shaun Lapere,Shaun Lapere,1,0,2009-02-07T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_80bb7a2c_81a0_45ca_8727_9cb84f257474,raw_80bb7a2c_81a0_45ca_8727_9cb84f257474,Grant Francis,Grant Francis,2,0,2008-10-18T13:00:00.0000000+00:00,2
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_881af5ae_08b6_49c2_8dc5_f1f9924072f4,raw_881af5ae_08b6_49c2_8dc5_f1f9924072f4,Greg Mack,Greg Mack,1,0,2008-11-01T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_8c02c2b8_c4c8_42a7_937c_3de4214ca127,raw_8c02c2b8_c4c8_42a7_937c_3de4214ca127,Sam Greck,Sam Greck,3,0,2009-01-24T13:00:00.0000000+00:00,3
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_903195b0_3808_40f6_baa2_170a8edb23bf,raw_903195b0_3808_40f6_baa2_170a8edb23bf,Ryan Ward,Ryan Ward,1,0,2009-01-10T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_a892995c_2be3_4ce5_a55c_07dc58861194,raw_a892995c_2be3_4ce5_a55c_07dc58861194,Daven Jaehne,Daven Jaehne,5,0,2009-02-07T13:00:00.0000000+00:00,5
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_b52498ed_67ee_49b5_bcd4_f7e60670eead,raw_b52498ed_67ee_49b5_bcd4_f7e60670eead,Nick Miller,Nick Miller,5,0,2009-02-07T13:00:00.0000000+00:00,5
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_b65661bf_cdb4_4d45_a3c7_ea18ae776a88,raw_b65661bf_cdb4_4d45_a3c7_ea18ae776a88,Jared Dewaal,Jared Dewaal,1,0,2009-01-24T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_bcc81581_d884_4a6b_b9c1_e1bcc6fca942,raw_bcc81581_d884_4a6b_b9c1_e1bcc6fca942,Peter Richardson,Peter Richardson,6,0,2009-02-07T13:00:00.0000000+00:00,6
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_c3857b6a_05e9_4d6c_84fb_4826e6be883d,raw_c3857b6a_05e9_4d6c_84fb_4826e6be883d,Matthew Grindley,Matthew Grindley,5,0,2009-02-07T13:00:00.0000000+00:00,5
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_cc25b071_3b2b_418c_84e7_77b3bb109fad,raw_cc25b071_3b2b_418c_84e7_77b3bb109fad,Matt Hassell,Matt Hassell,6,0,2009-01-24T13:00:00.0000000+00:00,6
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_d27637aa_7ff7_4bd1_9f90_967d729d4ed8,raw_d27637aa_7ff7_4bd1_9f90_967d729d4ed8,Jackson Ellard,Jackson Ellard,1,0,2009-01-10T13:00:00.0000000+00:00,1
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_dd36b4e8_f27b_41ee_953c_bf180539027c,raw_dd36b4e8_f27b_41ee_953c_bf180539027c,Ryan Horrell,Ryan Horrell,2,0,2009-02-07T13:00:00.0000000+00:00,2
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,27285cc6-73f9-42d6-b8f7-4ebf023e7686,2379fce7-e345-43b7-8a01-be12f62c11dd,C3 Grade,raw_e06a2bd9_1aed_4fd2_b50f_980102ab4a5d,raw_e06a2bd9_1aed_4fd2_b50f_980102ab4a5d,Josh Rudd,Josh Rudd,1,0,2008-11-01T13:00:00.0000000+00:00,1
