canonical_player_id,canonical_player_name,display_player_name,phase_model,phase,phase_order,legal_balls,wickets,runs_conceded,dot_balls,boundary_balls,match_count,overs,avg,eco,sr,dot_ball_pct,boundary_rate
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Opening,1,24,1,16,17,1,2,4.0,16.0,4.0,24.0,70.83333333333333,4.166666666666667
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Middle,2,66,2,34,46,3,4,11.0,17.0,3.090909090909091,33.0,69.6969696969697,4.545454545454546
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Middle,2,18,0,14,8,1,1,3.0,,4.666666666666667,,44.44444444444444,5.555555555555555
raw_00000000_0000_0000_0000_000000000002,********,********,One Day,Death,3,12,2,17,7,2,1,2.0,8.5,8.5,6.0,58.333333333333336,16.666666666666668
raw_00000000_0000_0000_0000_000000000004,********,********,One Day,Death,3,12,0,11,8,2,1,2.0,,5.5,,66.66666666666667,16.666666666666668
raw_00000000_0000_0000_0000_000000000001,********,********,Two Day,Older Ball,2,6,0,4,4,0,1,1.0,,4.0,,66.66666666666667,0.0
raw_783020cf_409e_4d98_9b14_200c3fcff343,Aarav Mehta,Aarav Mehta,One Day,Middle,2,12,1,8,8,1,1,2.0,8.0,4.0,12.0,66.66666666666667,8.333333333333334
raw_783020cf_409e_4d98_9b14_200c3fcff343,Aarav Mehta,Aarav Mehta,One Day,Death,3,18,1,26,5,4,1,3.0,26.0,8.666666666666666,18.0,27.77777777777778,22.22222222222222
raw_2d170dd2_cea0_4cfe_a503_d6ed579b037b,Abhishek Raman,Abhishek Raman,T20,Middle,2,12,1,13,4,1,1,2.0,13.0,6.5,12.0,33.333333333333336,8.333333333333334
raw_2d170dd2_cea0_4cfe_a503_d6ed579b037b,Abhishek Raman,Abhishek Raman,T20,Death,3,6,0,21,1,4,1,1.0,,21.0,,16.666666666666668,66.66666666666667
raw_72ec00f1_a4a5_488f_b68f_a81801a1bade,Aditeya Sonigra,Aditeya Sonigra,One Day,Opening,1,12,0,7,8,1,1,2.0,,3.5,,66.66666666666667,8.333333333333334
raw_72ec00f1_a4a5_488f_b68f_a81801a1bade,Aditeya Sonigra,Aditeya Sonigra,One Day,Middle,2,6,0,5,4,1,1,1.0,,5.0,,66.66666666666667,16.666666666666668
raw_b5080a39_61ed_4828_ac4c_e955c204add2,Aisha Gupta,Aisha Gupta,One Day,Opening,1,18,0,16,8,2,2,3.0,,5.333333333333333,,44.44444444444444,11.11111111111111
raw_b5080a39_61ed_4828_ac4c_e955c204add2,Aisha Gupta,Aisha Gupta,One Day,Middle,2,8,0,13,2,2,2,1.2,,9.75,,25.0,25.0
raw_b015cd74_0a67_4b69_b01f_6f5e4d4a0275,Akhil Khokher,Akhil Khokher,One Day,Middle,2,32,1,33,13,3,3,5.2,33.0,6.1875,32.0,40.625,9.375
raw_b015cd74_0a67_4b69_b01f_6f5e4d4a0275,Akhil Khokher,Akhil Khokher,One Day,Death,3,2,0,10,0,2,1,0.2,,30.0,,0.0,100.0
raw_37ea1fa3_b1c9_445d_aa90_2275b42931a7,Akshay Kurwa,Akshay Kurwa,One Day,Middle,2,198,6,118,132,15,7,33.0,19.666666666666668,3.5757575757575757,33.0,66.66666666666667,7.575757575757576
raw_37ea1fa3_b1c9_445d_aa90_2275b42931a7,Akshay Kurwa,Akshay Kurwa,One Day,Death,3,24,4,21,17,4,2,4.0,5.25,5.25,6.0,70.83333333333333,16.666666666666668
raw_cfef2ffe_4b5c_44cb_b6c1_a16ad678376c,Andrea Johannessen,Andrea Johannessen,One Day,Opening,1,6,0,6,3,1,1,1.0,,6.0,,50.0,16.666666666666668
raw_cfef2ffe_4b5c_44cb_b6c1_a16ad678376c,Andrea Johannessen,Andrea Johannessen,One Day,Middle,2,6,0,6,1,0,1,1.0,,6.0,,16.666666666666668,0.0
raw_a7f43c86_0c81_4c34_864d_33d8624c9681,Anirudha Borade,Anirudha Borade,One Day,Opening,1,336,11,190,231,20,13,56.0,17.272727272727273,3.392857142857143,30.545454545454547,68.75,5.9523809523809526
raw_a7f43c86_0c81_4c34_864d_33d8624c9681,Anirudha Borade,Anirudha Borade,One Day,Middle,2,18,1,11,14,2,3,3.0,11.0,3.6666666666666665,18.0,77.77777777777777,11.11111111111111
raw_a7f43c86_0c81_4c34_864d_33d8624c9681,Anirudha Borade,Anirudha Borade,One Day,Death,3,70,3,69,27,6,6,11.4,23.0,5.914285714285715,23.333333333333332,38.57142857142857,8.571428571428571
raw_a7f43c86_0c81_4c34_864d_33d8624c9681,Anirudha Borade,Anirudha Borade,T20,Opening,1,6,0,15,0,2,1,1.0,,15.0,,0.0,33.333333333333336
raw_4b1f1eec_1cda_4467_a310_a536fa3a452f,Anisha Gupta,Anisha Gupta,One Day,Opening,1,36,1,35,13,3,2,6.0,35.0,5.833333333333333,36.0,36.111111111111114,8.333333333333334
raw_ea4bbea9_8a32_4073_a99f_e6c1195fb750,Ankit Beniwal,Ankit Beniwal,One Day,Death,3,24,0,22,8,1,2,4.0,,5.5,,33.333333333333336,4.166666666666667
raw_ea4bbea9_8a32_4073_a99f_e6c1195fb750,Ankit Beniwal,Ankit Beniwal,T20,Middle,2,9,0,11,3,1,2,1.3,,7.333333333333333,,33.333333333333336,11.11111111111111
raw_ea4bbea9_8a32_4073_a99f_e6c1195fb750,Ankit Beniwal,Ankit Beniwal,Two Day,New Ball,1,18,0,3,16,0,1,3.0,,1.0,,88.88888888888889,0.0
raw_ea4bbea9_8a32_4073_a99f_e6c1195fb750,Ankit Beniwal,Ankit Beniwal,Two Day,Older Ball,2,19,1,14,11,1,1,3.1,14.0,4.421052631578948,19.0,57.89473684210526,5.2631578947368425
raw_fe4eec8e_7199_45fe_a2ec_3ee78e5efc9f,Ankit Patel,Ankit Patel,One Day,Opening,1,221,7,107,155,8,10,36.5,15.285714285714286,2.9049773755656108,31.571428571428573,70.13574660633485,3.6199095022624435
raw_fe4eec8e_7199_45fe_a2ec_3ee78e5efc9f,Ankit Patel,Ankit Patel,One Day,Middle,2,114,1,88,68,10,11,19.0,88.0,4.631578947368421,114.0,59.64912280701754,8.771929824561404
raw_fe4eec8e_7199_45fe_a2ec_3ee78e5efc9f,Ankit Patel,Ankit Patel,One Day,Death,3,60,5,59,28,5,6,10.0,11.8,5.9,12.0,46.666666666666664,8.333333333333334
raw_fe4eec8e_7199_45fe_a2ec_3ee78e5efc9f,Ankit Patel,Ankit Patel,Two Day,New Ball,1,42,0,14,35,2,1,7.0,,2.0,,83.33333333333333,4.761904761904762
raw_fe4eec8e_7199_45fe_a2ec_3ee78e5efc9f,Ankit Patel,Ankit Patel,Two Day,Older Ball,2,18,0,15,8,1,2,3.0,,5.0,,44.44444444444444,5.555555555555555
raw_9a989602_6787_4449_ae83_b077a0a7b8be,Ankit Sadyan,Ankit Sadyan,One Day,Opening,1,24,1,5,22,0,1,4.0,5.0,1.25,24.0,91.66666666666667,0.0
raw_9a989602_6787_4449_ae83_b077a0a7b8be,Ankit Sadyan,Ankit Sadyan,Two Day,New Ball,1,72,2,31,58,3,2,12.0,15.5,2.5833333333333335,36.0,80.55555555555556,4.166666666666667
raw_9a989602_6787_4449_ae83_b077a0a7b8be,Ankit Sadyan,Ankit Sadyan,Two Day,Older Ball,2,72,4,30,53,2,3,12.0,7.5,2.5,18.0,73.61111111111111,2.7777777777777777
arpan_desai,Arpan Desai,Arpan Desai,One Day,Opening,1,345,15,179,259,23,15,57.3,11.933333333333334,3.1130434782608694,23.0,75.07246376811594,6.666666666666667
arpan_desai,Arpan Desai,Arpan Desai,One Day,Middle,2,206,4,156,128,20,9,34.2,39.0,4.543689320388349,51.5,62.13592233009709,9.70873786407767
arpan_desai,Arpan Desai,Arpan Desai,One Day,Death,3,40,3,23,26,2,4,6.4,7.666666666666667,3.45,13.333333333333334,65.0,5.0
arpan_desai,Arpan Desai,Arpan Desai,Two Day,New Ball,1,18,1,14,14,3,1,3.0,14.0,4.666666666666667,18.0,77.77777777777777,16.666666666666668
arpan_desai,Arpan Desai,Arpan Desai,Two Day,Older Ball,2,30,1,6,27,1,1,5.0,6.0,1.2,30.0,90.0,3.3333333333333335
raw_342b0df7_f5d9_4dce_bb0d_591666c7e84c,Arya Patel,Arya Patel,One Day,Middle,2,18,0,10,14,1,1,3.0,,3.3333333333333335,,77.77777777777777,5.555555555555555
raw_342b0df7_f5d9_4dce_bb0d_591666c7e84c,Arya Patel,Arya Patel,One Day,Death,3,6,2,2,4,0,1,1.0,1.0,2.0,3.0,66.66666666666667,0.0
raw_ffe3d38d_1e3b_40e9_b0d6_9a6eaee852ae,Arya Rajen Joshi,Arya Rajen Joshi,One Day,Opening,1,29,0,26,15,4,4,4.5,,5.379310344827586,,51.724137931034484,13.793103448275861
raw_ffe3d38d_1e3b_40e9_b0d6_9a6eaee852ae,Arya Rajen Joshi,Arya Rajen Joshi,One Day,Middle,2,253,8,205,148,28,16,42.1,25.625,4.861660079051384,31.625,58.49802371541502,11.067193675889328
raw_ffe3d38d_1e3b_40e9_b0d6_9a6eaee852ae,Arya Rajen Joshi,Arya Rajen Joshi,One Day,Death,3,12,0,6,7,0,1,2.0,,3.0,,58.333333333333336,0.0
raw_8842cb2a_d322_47c7_999a_e84eadda38fd,Aryan Patel,Aryan Patel,One Day,Middle,2,48,0,30,29,3,2,8.0,,3.75,,60.416666666666664,6.25
raw_d6a95c1c_be34_44b6_b6fb_14a8e55ee722,Ashish Devani,Ashish Devani,One Day,Opening,1,13,1,14,7,2,1,2.1,14.0,6.461538461538462,13.0,53.84615384615385,15.384615384615385
raw_d6a95c1c_be34_44b6_b6fb_14a8e55ee722,Ashish Devani,Ashish Devani,One Day,Middle,2,8,2,9,5,2,1,1.2,4.5,6.75,4.0,62.5,25.0
raw_46df9850_e902_4205_96d8_cb86abd09418,Atharva Naik,Atharva Naik,One Day,Opening,1,6,0,3,4,0,1,1.0,,3.0,,66.66666666666667,0.0
raw_46df9850_e902_4205_96d8_cb86abd09418,Atharva Naik,Atharva Naik,One Day,Middle,2,76,2,58,48,7,4,12.4,29.0,4.578947368421052,38.0,63.1578947368421,9.210526315789474
raw_46df9850_e902_4205_96d8_cb86abd09418,Atharva Naik,Atharva Naik,One Day,Death,3,18,1,18,9,3,2,3.0,18.0,6.0,18.0,50.0,16.666666666666668
raw_26a0cecf_2606_4635_b503_39695bcb71fe,Axit Patel,Axit Patel,One Day,Middle,2,42,0,33,22,3,1,7.0,,4.714285714285714,,52.38095238095238,7.142857142857143
