player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_d7f93a87_6b05_4830_a524_41457fd00603,raw_d7f93a87_6b05_4830_a524_41457fd00603,Shaun Vikash,Shaun Vikash,56,13,0,6/34,6,34
vinit_naidu,vinit_naidu,Vinit Naidu,Vinit Naidu,38,10,0,7/28,7,28
damien_vikash,damien_vikash,Damien Vikash,Damien Vikash,34,6,0,6/75,6,75
clint_fernandes,clint_fernandes,Clint Fernandes,Clint Fernandes,33,18,0,8/30,8,30
shivnyl_naidu,shivnyl_naidu,Shivnyl Naidu,Shivnyl Naidu,31,5,0,6/49,6,49
amresh_bhan,amresh_bhan,Amresh Bhan,Amresh Bhan,30,13,0,7/27,7,27
baurel_d_mello,baurel_d_mello,Baurel D'Mello,Baurel D'Mello,22,5,0,7/34,7,34
raw_360868ba_5d2a_4f9f_9f3a_fff5756f3f85,raw_360868ba_5d2a_4f9f_9f3a_fff5756f3f85,Shandil Bhan,Shandil Bhan,17,3,0,5/4,5,4
raw_2c167bd3_c65c_4abd_8fa8_7351cfe9aa59,raw_2c167bd3_c65c_4abd_8fa8_7351cfe9aa59,Sajendra Shrestha,Sajendra Shrestha,16,7,0,7/19,7,19
raw_b0359b90_ca42_4a35_b0d1_46703899270f,raw_b0359b90_ca42_4a35_b0d1_46703899270f,Sai Krishna Buddaraju,Sai Krishna Buddaraju,15,3,0,6/20,6,20
sandeep_gill,sandeep_gill,Sandeep Gill,Sandeep Gill,14,1,0,5/15,5,15
raw_4df23ec6_b95a_4683_9e5a_58a272a1cb17,raw_4df23ec6_b95a_4683_9e5a_58a272a1cb17,Shalen Nand,Shalen Nand,13,2,0,5/11,5,11
feroz_hassan,feroz_hassan,Feroz Hassan,Feroz Hassan,12,0,0,4/12,4,12
raw_bacb745b_1109_4ffc_b4ce_f53bf8c269ce,raw_bacb745b_1109_4ffc_b4ce_f53bf8c269ce,Syed Shabbir,Syed Shabbir,12,1,0,5/42,5,42
balaji_viswanathan,balaji_viswanathan,Balaji Viswanathan,Balaji Viswanathan,11,4,0,7/29,7,29
nikhil_sawant,nikhil_sawant,Nikhil Sawant,Nikhil Sawant,11,4,0,6/49,6,49
raw_133832e5_c9bf_493d_a799_6f560da6758b,raw_133832e5_c9bf_493d_a799_6f560da6758b,Amal Krishna,Amal Krishna,10,0,0,3/10,3,10
raw_37976f0c_ac20_4501_a129_855f84be20bb,raw_37976f0c_ac20_4501_a129_855f84be20bb,Wesley Machado,Wesley Machado,10,3,0,8/27,8,27
raw_9fd2a404_b670_4f95_a13c_401b88a6c37e,raw_9fd2a404_b670_4f95_a13c_401b88a6c37e,Vikash Chand,Vikash Chand,9,2,0,6/28,6,28
raw_fabe3087_4118_4ebf_ae00_523358904311,raw_fabe3087_4118_4ebf_ae00_523358904311,Alex Moderana,Alex Moderana,8,1,0,5/38,5,38
raw_bd3267a9_62a4_4ef6_9c96_ca89ef724e76,raw_bd3267a9_62a4_4ef6_9c96_ca89ef724e76,Santhosh Kumar Chappidi,Santhosh Kumar Chappidi,8,3,0,5/17,5,17
raw_f8a8f7e5_bac4_4049_9b66_c8d6be892040,raw_f8a8f7e5_bac4_4049_9b66_c8d6be892040,Bobby Malli,Bobby Malli,7,0,0,4/8,4,8
danny_singh,danny_singh,Danny Singh,Danny Singh,7,0,0,4/40,4,40
jimmy_sharma,jimmy_sharma,Jimmy Sharma,Jimmy Sharma,7,0,0,4/46,4,46
raw_e6a98753_41b1_4aeb_b725_2f895b22754b,raw_e6a98753_41b1_4aeb_b725_2f895b22754b,Raja Parekh,Raja Parekh,7,0,0,4/37,4,37
raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,raw_25166f1f_6d57_48e5_a9c5_218afdb3fe70,Rama Bashamoni,Rama Bashamoni,7,2,0,6/28,6,28
ricky_singh,ricky_singh,Ricky Singh,Ricky Singh,7,0,0,3/3,3,3
raw_400e4752_f236_4ca7_93e9_fd8ebee6735e,raw_400e4752_f236_4ca7_93e9_fd8ebee6735e,Siddhanth Chaurasiya,Siddhanth Chaurasiya,7,0,0,4/11,4,11
raw_97055023_9a2c_4f89_aa56_c8083a09f48f,raw_97055023_9a2c_4f89_aa56_c8083a09f48f,Suraj Thapa,Suraj Thapa,7,0,0,4/19,4,19
raw_7dca5758_5687_4ef9_975b_6a594740bbd0,raw_7dca5758_5687_4ef9_975b_6a594740bbd0,Syamjith Harikumar,Syamjith Harikumar,7,3,0,5/38,5,38
raw_cdd6ad40_6a0f_403e_aa42_5577322a8e5a,raw_cdd6ad40_6a0f_403e_aa42_5577322a8e5a,Venu Birlangi,Venu Birlangi,7,2,0,5/21,5,21
raw_af5e1e15_6636_4749_999c_51794cc920be,raw_af5e1e15_6636_4749_999c_51794cc920be,Aravind Chamala,Aravind Chamala,6,0,0,4/37,4,37
raw_6dafae49_e951_4b24_a74a_d5d1ab49db67,raw_6dafae49_e951_4b24_a74a_d5d1ab49db67,Muhammad Nauman,Muhammad Nauman,6,1,0,5/30,5,30
raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,raw_100b60f9_15ab_4d35_9626_be4212a5d0e2,Rama Suravajjula,Rama Suravajjula,6,0,0,3/7,3,7
ravi_chowdary,ravi_chowdary,Ravi Chowdary,Ravi Chowdary,6,1,0,5/17,5,17
raw_0ceda279_1aad_42cd_a342_75c5faf3ad14,raw_0ceda279_1aad_42cd_a342_75c5faf3ad14,Vineeth Yamani,Vineeth Yamani,6,0,0,4/9,4,9
raw_42a7570e_9c61_418d_b68a_cdd2e816c3eb,raw_42a7570e_9c61_418d_b68a_cdd2e816c3eb,Ankur Dogra,Ankur Dogra,5,0,0,4/72,4,72
raw_6b74d336_b105_407c_b4ef_f68e2fba7862,raw_6b74d336_b105_407c_b4ef_f68e2fba7862,Damandeep Sehra,Damandeep Sehra,5,3,0,7/78,7,78
raw_8a856bda_2a2c_416f_948f_f80829c83646,raw_8a856bda_2a2c_416f_948f_f80829c83646,Padmanabhan Srinivasan,Padmanabhan Srinivasan,5,0,0,4/30,4,30
raw_17d58ef7_cae1_444e_adba_71c74067872b,raw_17d58ef7_cae1_444e_adba_71c74067872b,Prasad Rahate,Prasad Rahate,5,0,0,4/19,4,19
raw_ef7c9041_7c28_4a26_b0ca_97e914007ca1,raw_ef7c9041_7c28_4a26_b0ca_97e914007ca1,Sachin Chand,Sachin Chand,5,0,0,4/34,4,34
raw_2be4b5e3_4337_4630_bc06_454213e892e5,raw_2be4b5e3_4337_4630_bc06_454213e892e5,Sarfaraz Ahmed,Sarfaraz Ahmed,5,1,0,5/40,5,40
shrikant_sharma,shrikant_sharma,Shrikant Sharma,Shrikant Sharma,5,1,0,5/37,5,37
vishnu_para,vishnu_para,Vishnu Para,Vishnu Para,5,1,0,8/29,8,29
raw_162cce2f_a5bb_451f_ab68_d7a037f018ee,raw_162cce2f_a5bb_451f_ab68_d7a037f018ee,Benjamin Frew,Benjamin Frew,4,0,0,4/15,4,15
ibad_mohammed,ibad_mohammed,Ibad Mohammed,Ibad Mohammed,4,0,0,4/14,4,14
raw_13fe243d_49a0_4d92_b3e0_84ac18ed66eb,raw_13fe243d_49a0_4d92_b3e0_84ac18ed66eb,Jason Newcastle,Jason Newcastle,4,0,0,3/1,3,1
raw_7b43011a_eb05_448f_93c9_644481721a69,raw_7b43011a_eb05_448f_93c9_644481721a69,Jude Mendiz,Jude Mendiz,4,0,0,4/19,4,19
kieran_bhan,kieran_bhan,Kieran Bhan,Kieran Bhan,4,2,0,5/7,5,7
raw_e8ba8e6a_f654_4def_9abd_a37b607a6223,raw_e8ba8e6a_f654_4def_9abd_a37b607a6223,Madhu Vadakkedath,Madhu Vadakkedath,4,1,0,5/34,5,34
mayur_mohan,mayur_mohan,Mayur Mohan,Mayur Mohan,4,0,0,3/16,3,16
wajhi_syed,wajhi_syed,Wajhi Syed,Wajhi Syed,4,1,0,5/18,5,18
aravind_boddula,aravind_boddula,Aravind Boddula,Aravind Boddula,3,1,0,5/34,5,34
raw_22881360_c7c1_4e3e_9265_eee8b8aa191e,raw_22881360_c7c1_4e3e_9265_eee8b8aa191e,Jaymin Patel,Jaymin Patel,3,0,0,4/12,4,12
raw_4cc31b12_4f88_4c5e_aaa2_0b2921b48aba,raw_4cc31b12_4f88_4c5e_aaa2_0b2921b48aba,Kushal Tuladhar,Kushal Tuladhar,3,0,0,4/32,4,32
raw_4cafb4f2_d8e4_4eff_981c_b3524ef8e2d1,raw_4cafb4f2_d8e4_4eff_981c_b3524ef8e2d1,Sagar Shrestha,Sagar Shrestha,3,0,0,3/18,3,18
raw_c3a31191_6c5e_438e_9288_354845031832,raw_c3a31191_6c5e_438e_9288_354845031832,Abcin Thomas,Abcin Thomas,2,0,0,3/28,3,28
raw_f4eec6b0_c7ff_4771_b4f1_8ea5865e1186,raw_f4eec6b0_c7ff_4771_b4f1_8ea5865e1186,Akshat Bodele,Akshat Bodele,2,0,0,4/23,4,23
raw_0cef65b1_105f_4f25_8577_808d207df3c6,raw_0cef65b1_105f_4f25_8577_808d207df3c6,Ashveen Kumar,Ashveen Kumar,2,1,0,5/16,5,16
raw_ccb3384b_2674_455d_a9fa_e52ac4bd07a3,raw_ccb3384b_2674_455d_a9fa_e52ac4bd07a3,Bishal K C,Bishal K C,2,0,0,3/15,3,15
raw_d67ae9a7_e7b3_4b34_bd0f_f97332545d18,raw_d67ae9a7_e7b3_4b34_bd0f_f97332545d18,Damandeep Singh,Damandeep Singh,2,0,0,3/8,3,8
deepak_sharma,deepak_sharma,Deepak Sharma,Deepak Sharma,2,0,0,3/4,3,4
raw_739364b3_855b_4915_a172_af834ca51be8,raw_739364b3_855b_4915_a172_af834ca51be8,Dennis Subramaniam,Dennis Subramaniam,2,0,0,4/23,4,23
raw_248d59b2_4390_4bdf_a379_7376c701d492,raw_248d59b2_4390_4bdf_a379_7376c701d492,Faisal Shahzad,Faisal Shahzad,2,0,0,4/48,4,48
raw_55057811_2f39_45d7_a777_7d7dd6ee753d,raw_55057811_2f39_45d7_a777_7d7dd6ee753d,Hamza Ali,Hamza Ali,2,0,0,4/18,4,18
raw_ae261d51_9af8_4123_b965_4adda74aafc6,raw_ae261d51_9af8_4123_b965_4adda74aafc6,Jacob Joseph,Jacob Joseph,2,0,0,4/38,4,38
raw_e76d9035_6b7f_48f7_8b69_e8b983e82080,raw_e76d9035_6b7f_48f7_8b69_e8b983e82080,Jayasuriya Sathiaseelan,Jayasuriya Sathiaseelan,2,0,0,3/13,3,13
raw_388a6330_8191_49aa_a0d7_b3edb66b2b48,raw_388a6330_8191_49aa_a0d7_b3edb66b2b48,John Konsol,John Konsol,2,0,0,3/1,3,1
raw_9257a6d7_7887_43bf_a607_df0d79ee3da7,raw_9257a6d7_7887_43bf_a607_df0d79ee3da7,John Singh,John Singh,2,1,0,5/4,5,4
kalpeshkumar_patel,kalpeshkumar_patel,Kalpeshkumar Patel,Kalpeshkumar Patel,2,2,0,5/17,5,17
raw_71ca36a8_b853_449e_b7fd_ac601222e885,raw_71ca36a8_b853_449e_b7fd_ac601222e885,Kartik Nallepalli,Kartik Nallepalli,2,0,0,3/17,3,17
raw_5a5c2789_408d_4c21_9137_6cdd0961671b,raw_5a5c2789_408d_4c21_9137_6cdd0961671b,Krishna Kasiraju,Krishna Kasiraju,2,0,0,4/30,4,30
raw_7512873c_b6b6_49fe_80ff_3733b5abd044,raw_7512873c_b6b6_49fe_80ff_3733b5abd044,Mohaneesh Pitre,Mohaneesh Pitre,2,0,0,4/23,4,23
raw_5bb5ba70_d7c7_4e21_a6ca_b6e111b4f1e4,raw_5bb5ba70_d7c7_4e21_a6ca_b6e111b4f1e4,Nabin Shrestha,Nabin Shrestha,2,0,0,4/26,4,26
raw_33ffabac_4623_48bd_a99b_419590f00cc3,raw_33ffabac_4623_48bd_a99b_419590f00cc3,Neeraj Sharma,Neeraj Sharma,2,1,0,5/22,5,22
praveen_lama,praveen_lama,Praveen Lama,Praveen Lama,2,0,0,4/30,4,30
predheesh_valayil_sivanandan,predheesh_valayil_sivanandan,Predheesh Valayil Sivanandan,Predheesh Valayil Sivanandan,2,0,0,4/22,4,22
raw_0702405a_c36b_4bed_aa31_e2deb2af62b8,raw_0702405a_c36b_4bed_aa31_e2deb2af62b8,Princey Pereira,Princey Pereira,2,0,0,4/44,4,44
raw_91c05e56_a891_4811_bdc5_2ef55d8f0d4c,raw_91c05e56_a891_4811_bdc5_2ef55d8f0d4c,Rahul Lalji,Rahul Lalji,2,0,0,3/7,3,7
raw_22cf8387_0a70_4971_bb3a_99fe437ae5a3,raw_22cf8387_0a70_4971_bb3a_99fe437ae5a3,Raj Koppula,Raj Koppula,2,1,0,5/94,5,94
raw_ab033f7b_82e2_4044_b0cb_9024cf56db51,raw_ab033f7b_82e2_4044_b0cb_9024cf56db51,Reuel Sharan,Reuel Sharan,2,0,0,3/3,3,3
raw_9a2bd07c_c882_4bdc_8ff5_3146f05c1d1c,raw_9a2bd07c_c882_4bdc_8ff5_3146f05c1d1c,Sandeep Reddy,Sandeep Reddy,2,2,0,5/16,5,16
shiv_ganachari,shiv_ganachari,Shiv Ganachari,Shiv Ganachari,2,0,0,3/24,3,24
srikanth_para,srikanth_para,Srikanth Para,Srikanth Para,2,0,0,3/9,3,9
raw_38c119de_cb52_4461_a057_560972d54403,raw_38c119de_cb52_4461_a057_560972d54403,Abhilash Ayyala,Abhilash Ayyala,1,0,0,4/24,4,24
raw_b3b52283_bba3_41bc_8dea_fe249e5487b3,raw_b3b52283_bba3_41bc_8dea_fe249e5487b3,Arun Parvathyraj,Arun Parvathyraj,1,1,0,7/14,7,14
ashish_sharma,ashish_sharma,Ashish Sharma,Ashish Sharma,1,0,0,3/6,3,6
raw_aaf4ef5c_2b0e_4dfc_a22a_e562ae3c2e6c,raw_aaf4ef5c_2b0e_4dfc_a22a_e562ae3c2e6c,Bharath Bhavanashi,Bharath Bhavanashi,1,1,0,5/74,5,74
raw_cada42ba_0b29_4d11_b573_60e5f8a4a643,raw_cada42ba_0b29_4d11_b573_60e5f8a4a643,Cameron Nall,Cameron Nall,1,0,0,3/26,3,26
raw_f03e80c4_abf2_4463_8403_38611ffdb56a,raw_f03e80c4_abf2_4463_8403_38611ffdb56a,Elvin Espiritu,Elvin Espiritu,1,0,0,4/38,4,38
raw_1c60b130_e509_44a4_95f1_ef59b99e2ad7,raw_1c60b130_e509_44a4_95f1_ef59b99e2ad7,Kiran Kandel,Kiran Kandel,1,0,0,3/8,3,8
raw_97832fc9_67c1_4b6f_af3b_3ff4b701953a,raw_97832fc9_67c1_4b6f_af3b_3ff4b701953a,Kodkara Perera,Kodkara Perera,1,0,0,3/67,3,67
raw_3d096713_4cc8_4c75_8012_2af29191dd45,raw_3d096713_4cc8_4c75_8012_2af29191dd45,Lahiru Weerasinghe,Lahiru Weerasinghe,1,2,0,7/70,7,70
raw_0e78dee9_79dc_47e8_ac3f_c741ae08d19c,raw_0e78dee9_79dc_47e8_ac3f_c741ae08d19c,Larry Nanayakkara,Larry Nanayakkara,1,0,0,3/24,3,24
raw_8217d829_22d7_43e5_b059_c1ca038dadc7,raw_8217d829_22d7_43e5_b059_c1ca038dadc7,Loxly Mather,Loxly Mather,1,0,0,3/36,3,36
raw_98be31d5_daf2_437b_8d94_e44170555a40,raw_98be31d5_daf2_437b_8d94_e44170555a40,Mayur Patil,Mayur Patil,1,0,0,3/28,3,28
raw_7c6d53e3_6a85_43ef_81ae_907aa37b1946,raw_7c6d53e3_6a85_43ef_81ae_907aa37b1946,Mehdi Abidi,Mehdi Abidi,1,0,0,3/40,3,40
raw_75b794ea_e102_491c_8135_150f55e19aec,raw_75b794ea_e102_491c_8135_150f55e19aec,Nakul Kedar,Nakul Kedar,1,0,0,3/27,3,27
phanindra_padigella,phanindra_padigella,Phanindra Padigella,Phanindra Padigella,1,0,0,3/19,3,19
raw_02d91c00_a449_48ec_a770_37b96a0948f8,raw_02d91c00_a449_48ec_a770_37b96a0948f8,Pramen Nand,Pramen Nand,1,0,0,3/29,3,29
raw_d3a86d56_84b7_4eb2_946e_46dc86ee434f,raw_d3a86d56_84b7_4eb2_946e_46dc86ee434f,Raaj Chandra,Raaj Chandra,1,0,0,4/44,4,44
raw_6d1c1c11_865a_4040_8d68_11714f8a350b,raw_6d1c1c11_865a_4040_8d68_11714f8a350b,Renuka Yapa,Renuka Yapa,1,0,0,3/18,3,18
raw_0e932e6a_4c90_4c46_8043_acedc1522af9,raw_0e932e6a_4c90_4c46_8043_acedc1522af9,Sajin Shrestha,Sajin Shrestha,1,0,0,4/37,4,37
raw_4769e1b9_4c41_45b6_b3b1_424c7e683677,raw_4769e1b9_4c41_45b6_b3b1_424c7e683677,Santhosh Reddy Mekala,Santhosh Reddy Mekala,1,0,0,3/20,3,20
raw_6247e610_2352_42dc_8154_5d7947cbefc4,raw_6247e610_2352_42dc_8154_5d7947cbefc4,Siddhant Sharma,Siddhant Sharma,1,0,0,4/13,4,13
raw_cefd9f7d_2787_4b4c_9a13_4e1d0d434ff8,raw_cefd9f7d_2787_4b4c_9a13_4e1d0d434ff8,Siddhesh Jitendrabhai Vadapalli,Siddhesh Jitendrabhai Vadapalli,1,0,0,3/19,3,19
raw_643f54d7_4a3b_4c87_bf4c_b5d277365b72,raw_643f54d7_4a3b_4c87_bf4c_b5d277365b72,Sohail Ahmed,Sohail Ahmed,1,1,0,5/32,5,32
raw_c9e16142_3bba_44ab_8fad_4610a7f7f885,raw_c9e16142_3bba_44ab_8fad_4610a7f7f885,Suryakumar Patti,Suryakumar Patti,1,0,0,4/29,4,29
raw_9fbd0da7_c772_4b48_a8f5_e5d904ee091c,raw_9fbd0da7_c772_4b48_a8f5_e5d904ee091c,Syed Uddin,Syed Uddin,1,0,0,3/13,3,13
raw_4d7fe36b_3aee_419e_a708_757092d99b32,raw_4d7fe36b_3aee_419e_a708_757092d99b32,Vikash Rugoobur,Vikash Rugoobur,1,0,0,3/32,3,32
vinay_kumar_reddy_kontham,vinay_kumar_reddy_kontham,Vinay Kumar Reddy Kontham,Vinay Kumar Reddy Kontham,1,0,0,4/29,4,29
raw_00000000_0000_0000_0000_000000000001,raw_00000000_0000_0000_0000_000000000001,********,********,0,0,0,1/11,1,11
raw_00000000_0000_0000_0000_000000000002,raw_00000000_0000_0000_0000_000000000002,********,********,0,0,0,2/16,2,16
raw_00000000_0000_0000_0000_000000000003,raw_00000000_0000_0000_0000_000000000003,********,********,0,0,0,,0,17
raw_00000000_0000_0000_0000_000000000004,raw_00000000_0000_0000_0000_000000000004,********,********,0,0,0,,0,27
raw_00000000_0000_0000_0000_000000000005,raw_00000000_0000_0000_0000_000000000005,********,********,0,0,0,,0,28
